time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1776815076425524000,0.33952392578125,-0.9623372567544112,-0.22336718440055847,-0.45652752843542893,-0.01897280104458332,1.514338125717535e-17,0.8837808052879126,-0.09534397513607443,right,-0.3549463152885437,-0.18224964369755586,-7.913383599305153,-5.512681471213698,-0.10253810402561267,-0.018839070573449135,0.7781202793121338,1.7773809905417262,0.24048520624637604
1776815076465524000,0.37952392578125,-0.031533347958294385,-0.22742798924446106,-0.055097353957096085,-0.04352070763707161,0.18635324830930441,0.9589282787370247,0.3769994262765894,right,-0.004976868629455566,-0.4299326020859775,-0.2810478239714168,-8.909752598202228,-0.20662358494767408,-0.05309747904539108,-0.0018415413796901703,4.0875054604768755,0.009040147066116333
1776815076505524000,0.41952392578125,-0.03378277484249098,-0.13725721836090088,-0.054751117551344,0.012365050613880157,0.17920907361225383,0.9600705495379367,0.36166777965283553,right,-0.014377057552337646,-0.4317830199631105,-0.30083294008923694,-8.90152369903922,-0.20772798888545624,0.018857493996620178,-0.006608933210372925,4.103993361680209,0.004846394062042236
1776815076545524000,0.45952392578125,-0.033909296493373126,-0.11644019186496735,-0.05444102066956327,-0.004344005137681961,0.17742994941064266,0.9603788279999826,0.35793921806354745,right,-0.01571553945541382,-0.431976902684198,-0.3019321883017197,-8.900690170824527,-0.20791169940663978,0.029590703547000885,-0.008772483095526695,4.105720039342343,0.005814880132675171
1776815076585524000,0.49952392578125,-0.036580214864584355,-0.11988573521375656,-0.055177620704658606,0.012719430029392242,0.17561040200321942,0.9608075816239888,0.35355025804298384,right,-0.0061934590339660645,-0.430904506582094,-0.32586496215090155,-8.90424698652327,-0.2072804568801359,0.06128678470849991,-0.005761709064245224,4.096167198099196,-0.0031221210956573486
1776815076625523700,0.539523681640625,-0.039002744919284495,-0.10461808741092682,-0.05565870165682157,-0.003378700464963913,0.17363123735280858,0.9614038591177779,0.34886354370665823,right,-0.010602235794067383,-0.4285195273629202,-0.3478147089567035,-8.913167959603667,-0.20605100807438284,0.09071990847587585,-0.00866616889834404,4.0749049221009015,-0.019444644451141357
1776815076665523700,0.579523681640625,-0.04148027754115799,-0.09641966223716736,-0.05601862760835557,-0.0037766960449516773,0.17170757424245586,0.9621956630841536,0.34425764208059906,right,-0.009021222591400146,-0.42414268365277513,-0.37063236117083576,-8.930013295942544,-0.20385767242953268,0.10972831398248672,-0.0048574283719062805,4.035824957600235,-0.01309359073638916
1776815076705524000,0.61952392578125,-0.04503921979842508,-0.13354945182800293,-0.05642448816138975,-0.041252270340919495,0.16940187990168545,0.9635294952930129,0.33858596051364487,right,-0.014876008033752441,-0.4150401778924315,-0.40404863735400137,-8.964965951380133,-0.19932439569709684,0.20197725296020508,-0.005379296839237213,3.954303150950372,-0.013413101434707642
1776815076745524000,0.65952392578125,-0.0479645191570591,-0.16746513545513153,-0.05666878959161181,-0.04335816949605942,0.1674433437715544,0.9647441037893425,0.3338191213697996,right,-0.015809595584869385,-0.40628987925540866,-0.431914585933648,-8.99796338109672,-0.19498763385268636,0.273796945810318,0.0006287246942520142,3.8756270891204476,-0.008732497692108154
1776815076785524000,0.69952392578125,-0.0522632161978189,-0.19597430527210236,-0.056764338107563615,0.007437989115715027,0.16393891900021854,0.9668290642967966,0.3255800501395484,right,0.011696219444274902,-0.39099261678944924,-0.47363191320057957,-9.054174513140321,-0.18746568181925885,0.33047789335250854,0.00860273465514183,3.7373762640327213,-0.001678377389907837
