time,seconds_elapsed,activity
1776815076169000000,0.083,unknown
1776815079303000000,3.217,unknown
1776815081563000000,5.477,walking
1776815084132000000,8.046,walking
1776815086700000000,10.614,walking
1776815100502000000,24.416000244140626,stationary
1776815100822000000,24.736000244140627,walking
1776815102119000000,26.033,walking
1776815109497000000,33.411,stationary
1776815109829000000,33.743,walking
1776815112397000000,36.311,walking
1776815125247000000,49.161,walking
1776815127811000000,51.725,walking
1776815135526000000,59.44000024414063,walking
