time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1776556117395649800,0.54864990234375,1.014187792027721,-0.20741872489452362,0.4780216840681771,0.2274274230003357,-3.1210515814255e-17,0.8712981155769763,0.10843870149699032,left,-0.3694412112236023,-0.19476523674160426,8.168927801647781,-5.082992415842414,-0.11106199601340146,0.9373133182525635,-0.9186004400253296,1.89794199129045,0.22147676348686218
1776556117435650000,0.588650146484375,0.12435543446696928,-0.2211550921201706,0.1015870146370814,0.23467424511909485,-0.1861539896666036,0.9512416567100241,-0.3558776560012711,left,-0.028622567653656006,-0.4824326248194159,1.077543818740174,-8.620321323826909,-0.22397772101294383,0.9234416484832764,-0.1870187371969223,4.549653600904345,-0.0843108594417572
1776556117475074000,0.628073974609375,-0.1106696760845515,-0.3303578197956085,0.003460665091779291,0.20970448851585388,-0.23304836622086803,0.945420527316051,-0.508543083321362,left,-0.040330056101083755,-0.4469262670960458,-0.9767041481580585,-8.789338166317343,-0.22772022222439364,0.895861804485321,0.01389013510197401,4.238392479775846,-0.08829209208488464
1776556117515074000,0.668073974609375,-0.10144556026991955,-0.3491497337818146,0.0038982316561114038,0.2106524258852005,-0.24014352279383824,0.9479986460935381,-0.5172600916142164,left,-0.031180858612060547,-0.40915438403456467,-0.9111600281670689,-8.9509292427212,-0.20884069034133967,0.8465933799743652,0.018412448465824127,3.901415318110585,-0.08029642701148987
1776556117555074000,0.708073974609375,-0.0920106260557271,-0.367941677570343,0.004334184442083382,0.2116003781557083,-0.2471393090203989,0.9501846743056208,-0.5262161620280744,left,-0.02339249849319458,-0.37145814347566347,-0.8395916063852608,-9.099174515339731,-0.18987478389745815,0.7973248958587646,0.022320456802845,3.5595641206681727,-0.07180368900299072
1776556117595074300,0.74807421875,-0.08334334559794437,-0.3845508098602295,0.0039005544391775065,0.18688827753067017,-0.25685711239154835,0.9517461998393891,-0.5409741855139337,left,-0.02049839496612549,-0.32740655178332184,-0.7730072566263377,-9.25348537160754,-0.16789384571153404,0.7083814144134521,0.011991947889328003,3.1537051459565757,-0.07164402306079865
1776556117635074000,0.788073974609375,-0.07570801091911143,-0.39858317375183105,0.004058410595806048,0.21713067591190338,-0.26580102750764484,0.952161622077793,-0.5556425922786207,left,-0.02024441957473755,-0.2934005556129156,-0.7100359097328036,-9.360681425479054,-0.15073683973542007,0.6626628041267395,0.010163389146327972,2.8361726894736288,-0.0719093382358551
1776556117675074000,0.828073974609375,-0.07037973774692415,-0.4243794083595276,0.004231250970768477,0.25254517793655396,-0.2719257589763185,0.9521589977483674,-0.5659683946086042,left,-0.019057035446166992,-0.2710657918377327,-0.6644393298797309,-9.42517932435274,-0.139397565176548,0.6516281962394714,0.021458793431520462,2.6258134905084964,-0.1010361909866333
1776556117715074000,0.868073974609375,-0.06611910565513919,-0.6098323464393616,0.003158437861282493,0.23886816203594208,-0.282240130986806,0.9512490976774334,-0.5848579097289733,left,-0.009479641914367676,-0.2406173778440727,-0.6292685016468167,-9.503319379609822,-0.12432042688877261,0.6454252600669861,0.028284326195716858,2.336946864278614,-0.08418138325214386
1776556117755074000,0.908073974609375,-0.06243732662172831,-0.6035304665565491,0.00226812479904682,0.20404097437858582,-0.29303543650862246,0.949589505908225,-0.6053647339343092,left,-0.0070375800132751465,-0.2144939757292236,-0.5978812105406075,-9.563252162525057,-0.1113764126721822,0.5916768312454224,0.005125150084495544,2.087375014343858,-0.03932669758796692
