exercise,recording,rep_duration_s,headphones_mag_mean,headphones_mag_std,headphones_mag_min,headphones_mag_max,headphones_mag_range,headphones_mag_rms,headphones_mag_skew,headphones_mag_kurt,headphones_mag_dom_freq,headphones_mag_top3_pwr,headphones_mag_frac_above_mean,headphones_x_mean,headphones_x_std,headphones_x_zcr,headphones_y_mean,headphones_y_std,headphones_y_zcr,headphones_z_mean,headphones_z_std,headphones_z_zcr,headphones_corr_xy,headphones_corr_xz,headphones_corr_yz,watch_mag_mean,watch_mag_std,watch_mag_min,watch_mag_max,watch_mag_range,watch_mag_rms,watch_mag_skew,watch_mag_kurt,watch_mag_dom_freq,watch_mag_top3_pwr,watch_mag_frac_above_mean,watch_x_mean,watch_x_std,watch_x_zcr,watch_y_mean,watch_y_std,watch_y_zcr,watch_z_mean,watch_z_std,watch_z_zcr,watch_corr_xy,watch_corr_xz,watch_corr_yz,phone_mag_mean,phone_mag_std,phone_mag_min,phone_mag_max,phone_mag_range,phone_mag_rms,phone_mag_skew,phone_mag_kurt,phone_mag_dom_freq,phone_mag_top3_pwr,phone_mag_frac_above_mean,phone_x_mean,phone_x_std,phone_x_zcr,phone_y_mean,phone_y_std,phone_y_zcr,phone_z_mean,phone_z_std,phone_z_zcr,phone_corr_xy,phone_corr_xz,phone_corr_yz
pushups,pushups/1,2.75,1.013340173669388,0.2344791415521146,0.5145123641721676,1.5047136152569185,0.9902012510847509,1.0401147895282143,0.0385600624066006,-1.0297939727127614,0.7194251465289395,0.8784450749330053,0.4676258992805755,-0.060877697841726613,0.061000349147680426,0.30434782608695654,0.23091366906474822,0.17637449863852542,0.391304347826087,-0.9725035971223022,0.24914565888166443,0.15942028985507245,0.004325322511952657,0.06626951928084264,-0.49495055886442596,0.9793307977170221,0.017747448560410828,0.8359213610247688,1.010667013054021,0.17474565202925219,0.9794915942913769,-3.987886906795304,24.83704266545356,4.710149419484759,0.31257684771006056,0.48188405797101447,0.8766800688405797,0.10929812957725234,0.22545454545454546,0.3018914746376812,0.21655431786901208,0.13090909090909092,-0.12213665579710144,0.17083065436748837,0.21818181818181817,-0.3533297750628482,0.533071534441823,0.1436617280594151,9.89009430975982,1.3048603817324655,7.285288220879045,13.19014820281967,5.904859981940624,9.975802026491833,0.5952769587520537,0.05741749427178311,1.818645532478941,0.49535086281615476,0.32573673870333986,-0.6149619980353634,1.394195183609689,0.0066823899371069185,-1.9370374263261299,2.0473125685367477,0.004323899371069182,9.347927886444008,3.6417244635967254,0.013757861635220126,0.6161821000089227,-0.13864373726427345,-0.1484042055294895
pushups,pushups/1,3.3400001525878906,0.9853261350257212,0.23053607136638254,0.6019104599085581,1.4496879689379096,0.8477775090293516,1.0119360022085246,0.36227057185032246,-0.9609605702251178,0.5882358551030741,0.9121383703777712,0.4411764705882353,-0.026541176470588238,0.0532321338028465,0.4378698224852071,0.20352352941176471,0.21852201943003033,0.3609467455621302,-0.9449000000000001,0.24315131212525934,0.13609467455621302,0.16796612393772128,-0.3505443314106715,-0.6055632455240118,0.9808146905291578,0.011560043547073275,0.8957116673187373,1.0024851603721738,0.10677349305343653,0.9808828124524447,-2.9838745626489223,16.89472412390202,0.8955232420972172,0.3529411541601701,0.5194029850746269,0.8818062597014926,0.07511550256394513,0.2155688622754491,0.30924985970149255,0.2500284635032544,0.15568862275449102,-0.12131014029850747,0.09844304679720975,0.25149700598802394,-0.6987672227882408,-0.28455576487688056,0.40495996294082487,9.719085350012103,1.6520312460040871,7.0681342590952925,15.55051702366887,8.482382764573579,9.858490111502556,1.015806460247774,0.9862353994725845,0.7456380049424716,0.5559091834303664,0.2981888745148771,-0.7064367878395861,0.8977283541482026,0.006470397929472662,-2.0298859676584735,2.131873837907887,0.002588159171789065,9.105275205368693,4.8091620264305845,0.012293756065998059,0.7426171587405672,0.03917621436854254,0.008583850782486465
pushups,pushups/1,4.16100001335144,1.006812985383932,0.23342451061757907,0.563443420519923,1.4416565038754134,0.8782130833554904,1.0335179677658062,0.09542793137191542,-1.1648388789855466,0.7109011519018194,0.8473561943066272,0.4976303317535545,0.023687203791469193,0.07077564028716374,0.4238095238095238,0.24172511848341235,0.23685052435164558,0.40476190476190477,-0.9522985781990522,0.2704779532112256,0.15714285714285714,0.4360305734238487,-0.5350799394653852,-0.6269270641253827,0.9835656966806403,0.013925161062340546,0.9054254664800574,1.018290898107852,0.11286543162779461,0.9836642668093039,-0.37208138278983677,4.332958152539258,0.7194251465289395,0.3715850315051704,0.4148681055155875,0.8650276522781774,0.08439296164406454,0.18028846153846154,0.3599119520383693,0.24943265475365436,0.13942307692307693,-0.12094126858513188,0.09616916767580885,0.21153846153846154,-0.6877688378271233,-0.257513359874909,0.46527565521663783,10.041657491088555,1.7116154089382303,7.175729809909576,17.77666715938621,10.600937349476634,10.186486758271945,1.2235384937383218,2.353183062782465,0.8977853237079916,0.5430947478801734,0.31360332294911736,-0.5847680698338525,0.9533149140260262,0.00882887561672293,-1.6687403798026998,2.128373584321079,0.0025967281225655675,9.448373307113188,5.976462891699889,0.01817709685795897,0.7873252922052554,0.04089818290592032,0.021708435994409216
pushups,pushups/1,2.7689998149871826,0.9891746168638754,0.23769472972549283,0.5741095693629755,1.42111469490512,0.8470051255421446,1.0173323975904187,0.2629750403055372,-1.2532394381831464,0.7092205345214369,0.9033947154724283,0.44680851063829785,0.023517730496453903,0.07036577210697723,0.42142857142857143,0.2833617021276596,0.25464783850219574,0.39285714285714285,-0.9229361702127659,0.24879999124210259,0.1,0.48823946652213723,-0.5108637025913607,-0.6545203068555632,0.9802464384666485,0.013027351996220108,0.9058369941638699,1.0224352331051438,0.11659823894127397,0.9803330005802021,-0.2092859258812327,6.509806132189096,0.7194251465289395,0.6344100128503538,0.4460431654676259,0.8561927266187049,0.08341948812799545,0.21660649819494585,0.3854486330935252,0.2262363925151165,0.1299638989169675,-0.12219969064748201,0.10107447325271783,0.20938628158844766,-0.703675051292048,-0.2851646900249803,0.5055402116283954,9.973417244023203,1.4554483052910865,7.4081946659070805,13.94829783327315,6.54010316736607,10.07905656759372,0.585077279707681,0.17248271721060604,1.445496078053543,0.7341689000579242,0.3562231759656652,-0.6207484026531409,0.9575358726307004,0.01014832162373146,-1.4139630682793602,1.9589257895725705,0.0039032006245121,9.442995003901679,6.15624117911903,0.02146760343481655,0.8215256497840673,0.08225202175656647,0.003275699533724647
pushups,pushups/1,2.9800000190734863,0.9813040820721153,0.18824490165791607,0.596702329630005,1.405502859225837,0.8088005295958319,0.9991965995196317,0.30263604478627953,-0.70066449246141,0.6622522872021364,0.8860102644487563,0.4304635761589404,0.03184768211920531,0.06702601534507348,0.38666666666666666,0.3326225165562914,0.22511482696797044,0.38,-0.9048344370860927,0.1955091647879297,0.16,0.6082895637022194,-0.5514667754796938,-0.6963555878422504,0.9816594556413811,0.007876631460386923,0.9438665506715852,1.0029203046197883,0.059053753948203114,0.9816910553597273,-0.723032626696022,2.8079631124996114,0.6711415796478026,0.485781812522,0.5033557046979866,0.8709394899328858,0.07016856527170957,0.14814814814814814,0.35539603355704696,0.22655701243023646,0.09427609427609428,-0.12605690604026845,0.09044272225208069,0.1919191919191919,-0.7966774212712205,-0.23382121918708954,0.5111517326799409,9.911614167731713,1.410361852162828,7.431724132435337,13.863933264385048,6.432209131949711,10.011454238222148,0.37483129198941345,-0.1536995203240341,1.3422149157062364,0.8433722650575992,0.3657122145704966,-0.7100586103660745,1.0388575341119597,0.007251631617113851,-1.6674999296846682,2.1941952277205083,0.0036258158085569255,9.307929205509243,5.783918828046947,0.014503263234227702,0.8771837745493047,0.013324264825586388,-0.01354525443041121
pushups,pushups/1,3.561000108718872,0.9873150082758673,0.15175722028095806,0.7147749112309896,1.3768369173802455,0.6620620061492559,0.998909995682383,0.5141911833565618,-0.7074101529501542,0.8379896259848263,0.8237502563651762,0.441340782122905,0.02697206703910614,0.047691095191155115,0.3089887640449438,0.3580391061452515,0.17635212246073967,0.38764044943820225,-0.9097541899441342,0.1500592654681324,0.1853932584269663,0.5416330037236401,-0.5766158822076538,-0.6936325774025619,0.9783216647940086,0.007303259840088055,0.9567511217380523,0.997495274223441,0.04074415248538865,0.9783489241623421,0.352460918468179,-0.39911335780239643,0.618999075479577,0.6357123856897645,0.45403899721448465,0.9074783008356546,0.05126686796526577,0.15363128491620112,0.2524782395543176,0.20801053652659496,0.09217877094972067,-0.13964475487465183,0.07228085383468318,0.17039106145251395,-0.7899548504613659,-0.36773792549326667,0.6166325046679124,9.660192908081655,0.8507147758046879,8.075216784727827,12.115998848208786,4.040782063480959,9.697579216027242,0.19595521422879741,-0.6570133245547054,1.403837694922325,0.7190720619047578,0.5480740066727328,-0.9009902511373975,0.8230375970954046,0.009708737864077669,-2.461749304822566,1.9765484962179802,0.0024271844660194173,9.017167444040036,2.753037254063647,0.013652912621359222,0.8808435707379819,0.1121412112240566,0.11358710304187046
pushups,pushups/2,2.736999988555908,1.0230830278385918,0.21996659133224508,0.5641775858729747,1.3766912691426851,0.8125136832697104,1.0464627003165035,-0.19957874758566613,-1.055184322789932,0.7194251465289395,0.9190634638031991,0.5107913669064749,-0.03677697841726619,0.04107390131564451,0.2753623188405797,0.18061151079136692,0.17896306080777882,0.37681159420289856,-0.9899712230215827,0.23941989070244737,0.14492753623188406,0.18841033639092455,-0.19015096520583083,-0.524791719450002,1.0300494837718654,0.1228565464695548,0.9534551338263779,1.4721668873035363,0.5187117534771584,1.0373503121072998,2.072470276351363,3.0312291561350095,0.36363671042735485,0.6533014483694268,0.2,0.9060110145454545,0.14568385303009504,0.15693430656934307,0.1620279709090909,0.2909547998862164,0.10218978102189781,-0.22044834545454547,0.3086771854464507,0.145985401459854,-0.44135523005089045,0.16735951243955977,0.12632541322279225,9.673658935599189,1.2487641209136229,7.637309108508217,12.345080374923329,4.707771266415112,9.753926851887869,0.1760031467642449,-1.032990148320232,0.730616082108746,0.8386112804768238,0.44751381215469616,-5.5113485367008686,1.1308872165726471,0.008688783570300158,-4.877615050513023,1.9419946780799837,0.002369668246445498,5.668538295974744,2.005661264880148,0.016587677725118485,-0.39969588317057547,-0.7543767497896947,0.8012582691645629
pushups,pushups/2,4.5909998416900635,0.9988953977917568,0.21493470465651998,0.6209452099846184,1.4313230973837634,0.810377887399145,1.0217577711940034,0.21491166306815915,-1.1887684649545505,0.6493512686202766,0.927192781052832,0.46320346320346323,-0.031129870129870126,0.04522460081670984,0.3391304347826087,0.19575324675324676,0.22152162623032312,0.3652173913043478,-0.9594632034632036,0.22330918752877021,0.16521739130434782,0.11029316534994159,-0.24938045343458895,-0.6777905193561663,0.9746948224018974,0.005891850817998343,0.9525201160878005,0.9960464547183008,0.04352633863050026,0.9747126298161565,0.8395797193723523,2.2381057408250857,0.6521745350055821,0.44944328404353084,0.4326086956521739,0.8460968173913044,0.08800282123899879,0.13507625272331156,0.35789684999999993,0.2590283570986618,0.09586056644880174,-0.16912075434782609,0.06479240926191561,0.3028322440087146,-0.8256307455304948,0.006643947749804095,-0.025980798031658682,9.839519572002965,1.2171586964430947,7.719123481447637,11.953925623959726,4.234802142512089,9.914515656357421,-0.10077652859627931,-1.3016467979655764,0.6537362825083199,0.9194251690542152,0.5494350282485876,-5.624723920903954,1.0002480662240674,0.015073009891662742,-3.524717888888889,0.5951658823482214,0.026848798869524258,7.166992743879473,1.3142469690647565,0.016486104569006125,-0.2192730503672898,-0.6081885354495387,0.592993840957735
pushups,pushups/2,3.5460000038146973,1.0206140921608597,0.1865680902912423,0.7422159590439069,1.4730956260347445,0.7308796669908376,1.03752627794782,0.28820695513595296,-0.8916762333205792,0.5555560853751255,0.904939825483752,0.5333333333333333,-0.02182777777777778,0.05088056063583895,0.36312849162011174,0.2743722222222222,0.2551113053498099,0.4134078212290503,-0.9562111111111111,0.191256604501471,0.2011173184357542,0.2394720814540666,-0.3386991315621635,-0.6939766512562378,0.9751972959589595,0.004831796475706388,0.9660258326850634,0.9895269547221611,0.023501122037097755,0.9752092659028877,0.7437151805804368,0.22014807193970842,0.5617982885815875,0.41637327399641905,0.42696629213483145,0.8517118679775281,0.08187743645718266,0.14366197183098592,0.3692032219101124,0.24025204446372253,0.1267605633802817,-0.14528048314606742,0.07203891873468951,0.22253521126760564,-0.823230739393865,-0.14012595114461177,0.2034685282626779,9.784085477919282,1.0765227435196159,7.636119898377851,12.387543039355332,4.751423140977481,9.843131100241731,0.14025501238099303,-0.8608515263057961,0.5641015088554424,0.8542138782812961,0.47775746496039,-5.424402065813528,1.0737310797357265,0.01768292682926829,-3.4254255094454606,0.68270696883076,0.03170731707317073,7.288578595368677,1.1640461236245958,0.02195121951219512,-0.16388139096556106,-0.4571036410389098,0.453849439579148
pushups,pushups/2,3.1540000438690186,1.0054931032034204,0.2032679458438011,0.6842786433272067,1.4244130825426133,0.7401344392154067,1.0258334359910495,0.37748008787132425,-1.0453216563436463,0.6250005960470162,0.934917058578931,0.41875,-0.022049999999999997,0.04972723097056581,0.3710691823899371,0.254875,0.24114077190512598,0.4088050314465409,-0.9491375000000002,0.2040088689095403,0.1761006289308176,0.20597079962643752,-0.497206331526908,-0.6577252376898841,0.9763689809519974,0.005828846036165526,0.9658679900762491,0.9964585114246709,0.030590521348421773,0.9763863796732085,0.6878908306332483,0.8891525959985813,0.6349212404287149,0.4911782806648267,0.48253968253968255,0.8637147460317461,0.08231415371734176,0.1592356687898089,0.34221815238095243,0.25423857951746065,0.08917197452229299,-0.12236097142857143,0.07205763772488831,0.2643312101910828,-0.8240626217045613,-0.37826079389155093,0.4136861944804514,9.825577011349381,1.0932819253006545,7.923057959188894,11.985314282295855,4.062256323106961,9.886214087007552,0.2354386054217499,-1.0879890526575662,0.6340346411176583,0.9392505632649303,0.476027397260274,-5.413885790410959,1.2046927121612592,0.01644962302947224,-3.462548749315068,0.8305838083932661,0.030843043180260453,7.3065265657534235,1.3440390762703776,0.026730637422892393,0.24730740873235232,-0.2912372549340294,0.4226000965523877
