time,seconds_elapsed,activity
1776814963881000000,0.081,unknown
1776814966253000000,2.453,unknown
1776814971069000000,7.269,unknown
1776814978777000000,14.977,unknown
1776814989058000000,25.257999755859377,stationary
1776814989368000000,25.568,unknown
1776814991641000000,27.841,unknown
1776815001905000000,38.105,walking
1776815004472000000,40.672,walking
1776815007044000000,43.244,walking
1776815035310000000,71.51000024414063,walking
