time,seconds_elapsed,magneticBearing
1776814964143903200,0.3439033203125,83.96464332193987
1776814964153941200,0.353941162109375,82.80173462387351
1776814964163978200,0.363978271484375,81.04344428913096
1776814964174016300,0.374016357421875,79.5057908424637
1776814964184054000,0.384053955078125,78.42274537461945
1776814964194091300,0.39409130859375,77.1849659797973
1776814964204129300,0.40412939453125,76.29990550842254
1776814964214167000,0.4141669921875,75.64956311599704
1776814964224204300,0.424204345703125,75.75043326033352
1776814964234242300,0.4342421875,76.08280992165409
1776814964244280300,0.4442802734375,76.3138497038173
1776814964254318300,0.454318359375,76.85988488904363
1776814964264355000,0.46435498046875,77.0514980010534
1776814964274393300,0.474393310546875,77.14027813991584
1776814964284431000,0.48443115234375,77.83072768656943
1776814964294468000,0.494468017578125,77.7701556222074
1776814964304506400,0.50450634765625,77.62727896906091
1776814964314544000,0.514544189453125,76.30607968465026
1776814964324581000,0.5245810546875,74.91732613106751
1776814964334619400,0.534619384765625,72.13565228528951
1776814964344657200,0.5446572265625,68.74377180535815
1776814964354695400,0.5546953125,65.13021182841744
1776814964364732200,0.564732177734375,62.61994265450927
1776814964374770200,0.574770263671875,62.67830156377405
1776814964384808200,0.58480810546875,63.12926406111816
1776814964394845200,0.59484521484375,66.20062866998992
1776814964404883200,0.60488330078125,68.01513744436822
1776814964414921200,0.614921142578125,68.17334300954771
1776814964424959200,0.624959228515625,68.81159957341116
1776814964434996200,0.634996337890625,64.87585327837847
1776814964445034200,0.6450341796875,57.773306402118344
1776814964455072300,0.655072265625,48.90102602682087
1776814964465109000,0.66510888671875,37.99046745572695
1776814964475147300,0.675147216796875,19.964722413362438
1776814964485185000,0.68518505859375,354.5430585846528
1776814964495223300,0.695223388671875,329.17783313732485
1776814964505260300,0.70526025390625,313.37404906193655
1776814964515298000,0.715298095703125,302.1389076349249
1776814964525336300,0.72533642578125,296.2015024879933
1776814964535373300,0.735373291015625,293.52447773516064
1776814964545411000,0.7454111328125,293.36117830017633
1776814964555449300,0.755449462890625,295.4764074982747
1776814964565486000,0.765486083984375,299.1073230387856
1776814964575524400,0.7755244140625,303.71818443019765
1776814964585562000,0.78556201171875,307.96074449786494
1776814964595600100,0.79560009765625,310.7594694013942
1776814964605641200,0.80564111328125,311.505425718478
1776814964615679200,0.81567919921875,314.23669550266646
1776814964625717200,0.82571728515625,315.806829631778
1776814964635754000,0.83575390625,319.44935525116597
1776814964645792300,0.845792236328125,321.61512293423584
1776814964655830300,0.855830322265625,326.07528978386944
1776814964665868300,0.865868408203125,329.03901442612596
1776814964675905300,0.8759052734375,332.0659606874205
1776814964685943000,0.885943115234375,333.2979914113617
1776814964695981300,0.895981201171875,332.31113185480876
1776814964706018300,0.906018310546875,331.9140457006726
1776814964716056000,0.91605615234375,330.5737137604078
1776814964726094300,0.92609423828125,329.0421447415524
1776814964736132000,0.936132080078125,328.62483898315816
1776814964746169300,0.94616943359375,328.4913470785436
1776814964756207000,0.95620703125,329.90550503471553
1776814964766245000,0.9662451171875,331.99378986403485
1776814964776282400,0.976282470703125,335.2783075667411
1776814964786320100,0.986320068359375,339.62946592841695
1776814964796358100,0.996358154296875,344.165214124614
1776814964806396200,1.006396240234375,347.96345394046403
1776814964816433200,1.01643310546875,350.1547007433601
1776814964826471400,1.026471435546875,351.2107882292621
1776814964836509200,1.03650927734375,351.0113025139666
1776814964846546200,1.046546142578125,351.1365177723515
1776814964856584200,1.056584228515625,350.89408794812675
1776814964866622200,1.066622314453125,351.269260276164
1776814964876660200,1.07666015625,351.89506869433626
1776814964886697200,1.086697265625,352.460317519491
1776814964896735200,1.0967353515625,353.71216730717794
1776814964906773200,1.106773193359375,354.8774343856403
1776814964916810200,1.116810302734375,355.45282579411975
1776814964926848300,1.12684814453125,355.4514186719957
1776814964936886300,1.13688623046875,354.9635461587672
1776814964946924300,1.14692431640625,354.123386907643
1776814964956961300,1.156961181640625,353.54393615925136
1776814964966999300,1.166999267578125,353.04502755795664
1776814964977037300,1.177037353515625,352.0457257480532
1776814964987074000,1.187073974609375,351.4319881912345
1776814964997112300,1.1971123046875,350.91683084767254
1776814965007150000,1.207150146484375,350.88488107784144
1776814965017188400,1.217188232421875,350.8982548473374
1776814965027225300,1.227225341796875,350.72352237435985
1776814965037263000,1.23726318359375,351.0452059729659
1776814965047301400,1.24730126953125,351.5679418181073
1776814965057338000,1.257338134765625,352.4878050174039
1776814965067376000,1.267376220703125,353.11110118499323
1776814965077414400,1.277414306640625,353.3462511113959
1776814965087452200,1.2874521484375,353.49774439236126
1776814965097489200,1.2974892578125,353.47238285150326
1776814965107527200,1.307527099609375,353.19246432765
1776814965117565200,1.317565185546875,352.9733696992406
1776814965127603200,1.327603271484375,352.48698155996163
1776814965137640200,1.33764013671875,351.8582968146835
1776814965147678200,1.34767822265625,351.25727171178744
1776814965157716200,1.35771630859375,350.9283056197463
1776814965167753200,1.367753173828125,350.9751176921465
1776814965177791200,1.377791259765625,351.23196443325696
1776814965187829200,1.387829345703125,351.3808259145501
1776814965197866200,1.3978662109375,351.3808259145501
1776814965207904300,1.407904296875,351.36524338370253
1776814965217942300,1.4179423828125,350.7759213732251
