time,seconds_elapsed,relativeAltitude,pressure
1776554205939617500,-0.493382568359375,0,1002.6931762695312
1776554206944097500,0.51109765625,-0.02114105224609375,1002.6957702636719
1776554207947598600,1.5145986328125,-0.0422821044921875,1002.6982879638672
1776554208951583700,2.518583740234375,-0.06606292724609375,1002.7010345458984
1776554209955491600,3.52249169921875,-0.10305023193359375,1002.7054595947266
1776554210959095800,4.526095703125,-0.10833740234375,1002.7060699462891
1776554211506661600,5.07366162109375,-0.12947845458984375,1002.7085876464844
1776554212510694400,6.0776943359375,-0.14533233642578125,1002.7104949951172
1776554213514571800,7.08157177734375,-0.1743927001953125,1002.7137756347656
1776554214518462700,8.085462646484375,-0.19817352294921875,1002.7167510986328
1776554215522394600,9.08939453125,-0.21402740478515625,1002.718505859375
1776554216526419700,10.093419677734374,-0.24045562744140625,1002.7218627929688
1776554217530250500,11.09725048828125,-0.25630950927734375,1002.7238464355469
1776554218534174700,12.1011748046875,-0.2695159912109375,1002.7252197265625
1776554219538103600,13.105103515625,-0.3012237548828125,1002.7291107177734
1776554220542126600,14.109126708984375,-0.3329315185546875,1002.7326202392578
1776554221545957600,15.11295751953125,-0.35407257080078125,1002.7354431152344
1776554222549882600,16.116882568359376,-0.375213623046875,1002.7377319335938
1776554223553806600,17.120806640625,-0.375213623046875,1002.7377319335938
1776554224557813800,18.124813720703123,-0.38578033447265625,1002.7391052246094
1776554225561651700,19.128651611328124,-0.38842010498046875,1002.7395629882812
1776554226565567500,20.1325673828125,-0.40163421630859375,1002.7410888671875
1776554227569490700,21.13649072265625,-0.4227752685546875,1002.7433776855469
1776554228573423600,22.140423583984376,-0.4412689208984375,1002.7458190917969
1776554229577334500,23.14433447265625,-0.4703369140625,1002.7492523193359
1776554230581255700,24.148255615234376,-0.47826385498046875,1002.7500915527344
1776554231585175600,25.152175537109375,-0.502044677734375,1002.7529907226562
1776554232589543700,26.156543701171874,-0.5231781005859375,1002.7555847167969
1776554233593020700,27.160020751953127,-0.5443191528320312,1002.7579498291016
1776554234596937700,28.163937744140625,-0.583953857421875,1002.7626037597656
1776554235600849700,29.167849609375,-0.59716796875,1002.7642059326172
1776554236604757500,30.171757568359375,-0.59716796875,1002.7642059326172
1776554237608674600,31.175674560546874,-0.5945205688476562,1002.7639770507812
1776554238612579600,32.17957958984375,-0.5918807983398438,1002.7635955810547
1776554239616488700,33.18348876953125,-0.5892410278320312,1002.7633666992188
1776554240620399600,34.18739965820313,-0.5892410278320312,1002.7633666992188
1776554241624640800,35.19164086914063,-0.6235885620117188,1002.7672576904297
1776554242628516600,36.1955166015625,-0.6315155029296875,1002.7684020996094
