time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1776815636640861000,-13.13613916015625,163.6681152212288,-1,-1,30.28871481135288,190.11872824307937,-1,17.34021714467554,3,-97.74000863526375,-1
1776815649866252000,0.089251953125,163.6681152212288,-1,-1,30.28871481135288,190.11872824307937,-1,17.34021714467554,3,-97.74000863526375,-1
1776815649882322000,0.105322021484375,163.66815336820144,-1,-1,30.28867990063602,190.11876639005203,-1,25.77153293965417,9.820523908591134,-97.74003047951722,-1
1776815649995043000,0.21804296875,163.66823919888992,-1,-1,30.288679893409494,190.1188522207405,-1,25.76785176947014,9.820523910039435,-97.74003055989677,-1
1776815650384714200,0.60771435546875,163.73636073610425,-1,-1,30.288737281226748,190.18697375795483,-1,17.608852475755008,3.213117918852262,-97.74011825326389,-1
1776815656418875000,6.641875,163.65994370047824,-1,-1,30.288703984366894,190.11055672232882,-1,21.82534258637949,3,-97.74009362984947,-1
1776815656890648800,7.11364892578125,163.34082498130175,-1,-1,30.28870027241422,189.79143800315234,-1,16.217326901478238,3,-97.7400577998375,-1
1776815662922188000,13.14518798828125,163.1573426377847,-1,-1,30.288684133198768,189.60795565963528,-1,19.757526437227444,3,-97.74005583001498,-1
1776815663382544100,13.605544189453125,163.2559857306791,-1,-1,30.288647130761394,189.7065987525297,-1,15.339480625222416,3,-97.74002551147136,-1
1776815669412229000,19.63522900390625,163.33375577091772,-1,-1,30.288647059779343,189.7843687927683,-1,14.446910340941358,3,-97.74002965812126,-1
1776815669831001000,20.0540009765625,163.37304061141046,-1,-1,30.288652634724347,189.82365363326105,-1,12.384759892778192,3,-97.7400567582406,-1
1776815676380717000,26.603717041015624,163.40917873733085,-1,-1,30.28865194136839,189.85979175918143,-1,12.294610233154883,3,-97.74005611695974,-1
1776815676839610000,27.062610107421875,163.36058739335908,-1,-1,30.288662557508886,189.81120041520967,-1,11.09198933951134,3,-97.74003416773249,-1
1776815682866388000,33.089387939453125,163.31284795294346,-1,-1,30.288657426076938,189.76346097479404,-1,20.472336550457964,3,-97.74003969524207,-1
1776815683286373000,33.509373046875,163.33261179948312,-1,-1,30.28865222002251,189.7832248213337,-1,15.651349123743499,3,-97.74004558379043,-1
1776815689312296000,39.5352958984375,163.35161051367214,-1,-1,30.288650224358932,189.80222353552273,-1,21.62632456505325,3,-97.74004763220971,-1
1776815689824759000,40.04775903320313,163.22790232603347,-1,-1,30.28866733759648,189.67851534788406,-1,16.105534039139183,3,-97.74001118787123,-1
1776815695859119900,46.08211987304688,163.10671836797934,-1,-1,30.28865980792193,189.55733138982993,-1,21.739815365251044,3,-97.74002580119867,-1
1776815696314683000,46.53768286132812,163.05264421520968,-1,-1,30.2886572270374,189.50325723706027,-1,16.18027836678003,3,-97.7400379596358,-1
1776815702336593200,52.55959326171875,162.98595929726076,-1,-1,30.288653339499987,189.43657231911135,-1,21.866563271912927,3,-97.74004286667578,-1
1776815702811318000,53.03431811523438,162.9653974667472,-1,-1,30.288702149026488,189.41601048859778,-1,16.210504667642546,3,-97.73997490309488,-1
1776815708831665200,59.0546650390625,162.94514485092577,-1,-1,30.288682071328292,189.39575787277636,-1,21.660742553455414,3,-97.74000254640187,-1
1776815709281144000,59.50414404296875,162.96969993950592,-1,-1,30.288662874840668,189.4203129613565,-1,16.14989710009124,3,-97.74007174691599,-1
1776815715303071000,65.52607104492188,162.9940826527668,-1,-1,30.288656864977895,189.44469567461738,-1,21.937168156020306,3,-97.74006413957798,-1
1776815715754079000,65.97707885742187,163.05873228062154,-1,-1,30.288663721325907,189.50934530247213,-1,16.259503630337928,3,-97.7400787303739,-1
1776815721775321900,71.99832177734375,163.12316501118593,-1,-1,30.288657571028125,189.57377803303652,-1,21.63347783143411,3,-97.74006881036061,-1
1776815722239026200,72.46202612304687,163.1131038138526,-1,-1,30.288670659625847,189.5637168357032,-1,16.13863833673764,3,-97.74004364440533,-1
1776815728263781000,78.48678100585937,163.1031161851409,-1,-1,30.28866180847991,189.55372920699148,-1,21.87618683262574,3,-97.74004645657855,-1
1776815728728635000,78.951634765625,163.08100056688332,-1,-1,30.28869765066367,189.5316135887339,-1,16.235809547866996,3,-97.74009504018021,-1
1776815734753523700,84.97652368164063,163.05893087013777,-1,-1,30.288679425344082,189.50954389198836,-1,21.52893464719125,3,-97.7400793828532,-1
1776815735180769000,85.40376904296875,163.0274758981317,-1,-1,30.28869417126887,189.4780889199823,-1,16.097247394705715,3,-97.74007517446438,-1
1776815741209249000,91.4322490234375,162.99610208717533,-1,-1,30.28867671279211,189.44671510902592,-1,21.829536625286586,3,-97.74006638131014,-1
1776815741663955000,91.88695483398438,163.01967668077722,-1,-1,30.28870281506523,189.4702897026278,-1,16.217619186622933,3,-97.73999410961181,-1
