time,seconds_elapsed,activity
1776815649856000000,0.079,unknown
1776815653991000000,4.214,unknown
1776815658819000000,9.042,walking
1776815660092000000,10.315,stationary
1776815662341000000,12.564,walking
1776815663951000000,14.174,stationary
1776815667165000000,17.388,stationary
1776815669092000000,19.315,stationary
1776815670373000000,20.596,walking
1776815671016000000,21.239,walking
1776815674237000000,24.46,walking
1776815746493000000,96.716,walking
