time,seconds_elapsed,relativeAltitude,pressure
1776870091268053000,-0.266947021484375,0,995.3663635253906
1776870092270679000,0.735678955078125,-0.0185089111328125,995.3682708740234
1776870093274330000,1.739330078125,-0.03436279296875,995.3701782226562
1776870094277650200,2.742650146484375,-0.103057861328125,995.3784942626953
1776870095281292300,3.746292236328125,-0.1743927001953125,995.386962890625
1776870096284942000,4.749942138671875,-0.1743927001953125,995.386962890625
1776870096831766000,5.29676611328125,-0.229888916015625,995.3934478759766
1776870097835255000,6.300255126953125,-0.221954345703125,995.3925323486328
1776870098838925000,7.303925048828125,-0.221954345703125,995.3925323486328
1776870099842164000,8.3071640625,-0.1743927001953125,995.3868103027344
1776870100845032200,9.3100322265625,-0.1743927001953125,995.3868103027344
1776870101848741000,10.3137412109375,-0.1743927001953125,995.3868103027344
1776870102852365000,11.317364990234376,-0.140045166015625,995.3826904296875
1776870103855518200,12.320518310546875,-0.140045166015625,995.3826904296875
1776870104857577000,13.322576904296875,-0.140045166015625,995.3826904296875
1776870105860798200,14.325798095703124,-0.103057861328125,995.3785705566406
1776870106864457200,15.329457275390626,-0.1004180908203125,995.3782653808594
1776870107868242000,16.333241943359376,-0.1004180908203125,995.3782653808594
1776870108871899100,17.336899169921875,-0.0739898681640625,995.3749847412109
1776870109875432000,18.340431884765625,-0.0739898681640625,995.3749847412109
1776870110879089200,19.344089111328124,-0.0739898681640625,995.3749847412109
1776870111882193200,20.347193115234376,-0.0924835205078125,995.3770446777344
1776870112884212000,21.3492119140625,-0.103057861328125,995.37841796875
1776870113886915300,22.351915283203127,-0.103057861328125,995.37841796875
1776870114890532000,23.355531982421876,-0.103057861328125,995.37841796875
1776870115894211000,24.359211181640624,-0.103057861328125,995.3784942626953
1776870116897838000,25.362838134765624,-0.10833740234375,995.3788757324219
1776870117901555000,26.366554931640625,-0.129486083984375,995.3816986083984
1776870118905225000,27.370224853515627,-0.1770477294921875,995.3871154785156
1776870119908829200,28.3738291015625,-0.192901611328125,995.3892517089844
1776870120912548000,29.377548095703126,-0.2272491455078125,995.39306640625
1776870121916369200,30.381369140625,-0.2404632568359375,995.3947448730469
1776870122920068000,31.385068115234375,-0.248382568359375,995.3954315185547
1776870123923580200,32.388580078125,-0.2510223388671875,995.3961181640625
1776870124927417000,33.3924169921875,-0.2695159912109375,995.3980255126953
1776870125930944300,34.3959443359375,-0.274810791015625,995.3988647460938
1776870126934746000,35.39974609375,-0.274810791015625,995.3988647460938
1776870127938309000,36.40330908203125,-0.274810791015625,995.3985595703125
1776870128941984300,37.406984375,-0.266876220703125,995.39794921875
1776870129945625000,38.410625,-0.2615966796875,995.3972625732422
1776870130949355000,39.41435498046875,-0.2589569091796875,995.3968048095703
1776870131953046000,40.4180458984375,-0.2378082275390625,995.3943634033203
1776870132956697300,41.421697265625,-0.2061004638671875,995.3907775878906
1776870133960431000,42.42543115234375,-0.19024658203125,995.3887939453125
1776870134964093200,43.42909326171875,-0.158538818359375,995.3848266601562
1776870135967835100,44.43283520507813,-0.1004180908203125,995.3780364990234
1776870136971529000,45.43652905273437,-0.084564208984375,995.3761291503906
1776870137975191000,46.44019091796875,-0.0290679931640625,995.3697204589844
1776870138978934000,47.44393408203125,0.05548095703125,995.3596496582031
1776870139982628000,48.44762817382812,0.0713348388671875,995.357666015625
1776870140986336300,49.45133618164063,0.09246826171875,995.355224609375
1776870141990034200,50.4550341796875,0.09246826171875,995.355224609375
1776870142993744100,51.458744140625,0.0819091796875,995.3566741943359
1776870143997446100,52.462446044921876,0.0528411865234375,995.3598785400391
1776870145001186000,53.46618603515625,0,995.3661346435547
1776870146005457200,54.47045703125,-0.0052947998046875,995.3669738769531
1776870147008656100,55.47365625,-0.0290679931640625,995.3695678710938
1776870148012488200,56.47748828125,-0.0792694091796875,995.3755950927734
1776870149015982000,57.480982177734376,-0.0792694091796875,995.3755950927734
1776870150019832000,58.48483203125,-0.02642822265625,995.3691864013672
1776870151023548200,59.48854809570312,0.031707763671875,995.362548828125
1776870152026783200,60.491783203125,0.10040283203125,995.3543090820312
1776870153030414000,61.4954140625,0.2193145751953125,995.3403472900391
1776870154034072000,62.49907202148437,0.2695159912109375,995.3342437744141
