time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1776870091865867800,0.33086767578125,-2.146156446542857,-0.3272204992132238,0.8144799940361839,0.7047150731717408,-0.46395668601439116,-0.1195544323419294,0.10909918931068452
1776870091875903700,0.34090380859375,-2.1492136352805735,-0.33454071675284014,0.8124586324576226,0.7274913296957513,-0.45988972148806506,-0.12843246261285815,0.0991740391822824
1776870091885940700,0.350940673828125,-2.151889432040223,-0.33836712294691657,0.811747340602787,0.7427954586789215,-0.4560232219698438,-0.13644312402627293,0.08720232103940989
1776870091895976700,0.360976806640625,-2.1509359661169665,-0.33593784770191165,0.8126985264349316,0.7442959241974058,-0.45421828578946,-0.14266213077169626,0.07336140592028413
1776870091906012700,0.3710126953125,-2.1478345192114303,-0.3280896605569088,0.8152724432201991,0.7336917133993859,-0.45393642743488277,-0.14707087196473925,0.058090704514894155
1776870091916050000,0.3810498046875,-2.1466836453336597,-0.32213482218918604,0.8174749314455524,0.7273161884655891,-0.4526232211858338,-0.15197413415879735,0.04315470540466462
1776870091926086000,0.3910859375,-2.1491523818243103,-0.3194573402326321,0.8192357945919897,0.7273195080444874,-0.44962571753511293,-0.1569603818679184,0.030101891130813647
1776870091936123000,0.401122802734375,-2.1484283422050168,-0.31909266970111794,0.819235237918667,0.7320291582710758,-0.4479838497392726,-0.16230864475422166,0.01996012813806191
1776870091946158800,0.411158935546875,-2.1459873012073305,-0.3191303827066578,0.8186145201254847,0.7362762748207183,-0.44757716772351996,-0.16643561420341946,0.013178106167351955
1776870091956194800,0.42119482421875,-2.1520066609509505,-0.3180390190021983,0.8205853617464924,0.7351630368526367,-0.44439681882485066,-0.16733931377845015,0.008038760530317404
1776870091966231800,0.431231689453125,-2.167487760446176,-0.31708887943384373,0.8248683739997802,0.7324365213188464,-0.4374521220220766,-0.16638077212189117,0.002937936652301069
1776870091976267800,0.441267822265625,-2.185912268535345,-0.31927570897565294,0.8286070576031902,0.7354614794138604,-0.42915151135161866,-0.16523442942365146,0.00020647733204148838
1776870091986304800,0.4513046875,-2.2034987907857726,-0.32368973784959654,0.8311967715294137,0.7430356686278304,-0.4210950936007048,-0.16436512902364772,-0.0006312083201308815
1776870091996340700,0.4613408203125,-2.2181171892074647,-0.3287464435677734,0.8327373343218059,0.7523791709580228,-0.41422351670716423,-0.16399188498837863,-0.0007753144697035617
1776870092006377000,0.471376953125,-2.228504405175471,-0.3342067444686083,0.8330415484191184,0.7631631001115263,-0.40910698242098403,-0.16425351813404393,-0.00020738469224342783
1776870092016414000,0.4814140625,-2.2354331877942744,-0.3394693710136172,0.8325546097259346,0.7741528343787408,-0.4054128077139601,-0.16508723716710144,0.0003621810581853936
1776870092026450000,0.491449951171875,-2.240662225794077,-0.3442152619551172,0.8318390264350505,0.7851731974540718,-0.402090345303995,-0.16698234211822158,-0.0009935908855381523
1776870092036487000,0.50148681640625,-2.245969382722838,-0.348477413712268,0.8313086462278255,0.7967685399059716,-0.39803295853236864,-0.17046764217825544,-0.006011493973728039
1776870092046523000,0.51152294921875,-2.2522572621159185,-0.3520624483969278,0.8312533617657623,0.8082554974555108,-0.3928879221953931,-0.1752394952259459,-0.01469520027039377
1776870092056558800,0.521558837890625,-2.2587560600548486,-0.3548233373045556,0.8315506218086585,0.8187841038770811,-0.38725363897071985,-0.18071713892131713,-0.025740483752452553
1776870092066595800,0.531595947265625,-2.264452033689713,-0.3565082869989927,0.8320741500686799,0.8274115639909974,-0.3818380487471882,-0.18642482074151312,-0.03799082925478433
1776870092076631800,0.5416318359375,-2.267259494937556,-0.35760408372429553,0.8321534718552511,0.8349206797596039,-0.3777914526871915,-0.19212896174915745,-0.04958234568998826
1776870092086669000,0.5516689453125,-2.2679028155343817,-0.3581792556823049,0.8319400818915029,0.8412806276691432,-0.37486448743915624,-0.1976355599232018,-0.06034113249950828
1776870092096705000,0.561705078125,-2.2684680149009466,-0.35862896401868444,0.8317482586453783,0.8470778358600344,-0.3721027790659284,-0.20277967761396193,-0.07048797521875516
1776870092106741000,0.571740966796875,-2.2703109946504507,-0.3591988638751965,0.8317673244999656,0.8531612742116539,-0.36861952431236317,-0.2079878987979573,-0.08126907715809771
1776870092116778000,0.581778076171875,-2.2750786930577713,-0.3597257512817541,0.8323889504824455,0.8599581585566988,-0.3631561423457465,-0.21411142670424432,-0.09531901391104323
1776870092126814000,0.59181396484375,-2.2832663975615284,-0.3600176852935511,0.8337386982156433,0.8674379548555551,-0.35520981835838683,-0.22156945550097795,-0.11394483126273341
1776870092136851000,0.601850830078125,-2.2942802226330286,-0.3602289813027474,0.8355661099597856,0.8755720746221619,-0.3451711054662525,-0.23004633041868391,-0.13617705557797843
1776870092146887000,0.611886962890625,-2.3068912685644647,-0.3601764956277216,0.8376642790410006,0.8832492217674278,-0.33404224783756353,-0.23876176367648183,-0.16005861111232067
1776870092156923000,0.6219228515625,-2.3196145123580973,-0.35959139677697366,0.8398492897108315,0.8893798812417092,-0.3229467396014896,-0.2470881338629234,-0.18380912492213572
1776870092166959900,0.6319599609375,-2.3313185179173037,-0.3582034475201682,0.8420178538640365,0.8934006810828762,-0.3125845924378384,-0.2549256162767403,-0.20683774883376277
1776870092176995800,0.641995849609375,-2.341324191653744,-0.35580556308604605,0.8441192749269185,0.895192897170525,-0.3032432854955388,-0.2625044275293541,-0.2293851258362579
1776870092187032800,0.65203271484375,-2.349420153461772,-0.3526599132024913,0.8460148464855016,0.8954917406697577,-0.29495663652585424,-0.2699824382324611,-0.25141997253683984
