time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1776870086572324900,-4.962675048828125,164.22316790102212,-1,-1,30.288706153598824,190.6737809228727,-1,16.82782195926681,27.312,-97.74000966454604,-1
1776870091643724800,0.108724853515625,164.22316790102212,-1,-1,30.288706153598824,190.6737809228727,-1,16.82782195926681,27.312,-97.74000966454604,-1
1776870091665042000,0.1300419921875,164.3544677734375,-1,-1,30.288689939209526,190.8050807952881,-1,24.689871875652198,28.9248,-97.74003820621738,-1
1776870091769635000,0.234635009765625,164.35454597473145,-1,-1,30.288689934168175,190.80515899658204,-1,24.686846467267607,28.924800000631137,-97.74003827531338,-1
1776870092149927200,0.61492724609375,163.85693034216274,-1,-1,30.28871039622542,190.30754336401333,-1,17.25569071134191,12.76992,-97.7400593645231,-1
1776870098173339000,6.6383388671875,163.87721704465574,-1,-1,30.28868614161549,190.32783006650632,-1,22.213076434605476,6.307968000000001,-97.74005627892126,-1
1776870098624472000,7.08947216796875,163.75778957390543,-1,-1,30.28868073496604,190.208402595756,-1,16.355526735101066,3,-97.74004330875222,-1
1776870104650505000,13.1155048828125,163.75780292534586,-1,-1,30.288668324031743,190.20841594719644,-1,21.73593297997332,3.001199300053615,-97.74004620734269,-1
1776870105166850000,13.63185009765625,163.64769697002905,-1,-1,30.288692984949535,190.09830999187963,-1,16.18335888275966,3,-97.74005601533932,-1
1776870111198391800,19.663391845703124,163.60058918211277,-1,-1,30.288675870877633,190.05120220396336,-1,21.88831697588599,3,-97.74005425741066,-1
1776870111625463000,20.090463134765624,163.64161255521515,-1,-1,30.2886958598383,190.09222557706573,-1,16.240878839250176,3,-97.74006628538423,-1
1776870117651474000,26.116473876953126,163.6709307792056,-1,-1,30.288678105240383,190.1215438010562,-1,21.632590610147393,3,-97.74006085991073,-1
1776870118151985200,26.616985107421876,163.71825563161704,-1,-1,30.28870637705779,190.16886865346763,-1,16.135349713236295,3,-97.74005379095445,-1
1776870124177083100,32.642083251953125,163.75863675482069,-1,-1,30.288684436459878,190.20924977667127,-1,21.826627884748337,3,-97.74005286059106,-1
1776870124629831000,33.094830810546874,163.72023590991353,-1,-1,30.28871530563273,190.1708489317641,-1,16.22225365125366,3,-97.74008384256457,-1
1776870130684769300,39.14976928710937,163.68470824472507,-1,-1,30.288690678130603,190.13532126657566,-1,21.56756656868181,3,-97.74007214804037,-1
1776870131198038000,39.6630380859375,163.66524698876492,-1,-1,30.288690095786382,190.1158600106155,-1,16.11455068856157,3,-97.73997463234377,-1
1776870133526533000,41.991533203125,163.83089524488463,8.748160479706463,-1,30.288691191686986,190.28150826673522,-1,19.44613137034374,70.07509904900348,-97.73997369447761,0.9075914621353149
1776870134526551800,42.9915517578125,157.23675432090064,8.199223371776004,-1,30.288691623096756,183.68736734275123,-1,19.447984455867985,11.57154623634308,-97.73997075124718,0.9075914621353149
1776870135526569700,43.99156982421875,157.02281621509826,7.975619375704228,-1,30.288689072065484,183.47342923694885,-1,20.06579200086671,9.312539118926164,-97.73996860707938,0.9075914621353149
1776870136526587600,44.991587646484376,157.02627969752606,8.249397011008519,-1,30.288687515726654,183.47689271937665,-1,20.700658892020044,8.030593011005807,-97.7399674152085,0.8846073746681213
1776870137526606300,45.9916064453125,157.04348693339526,8.140976846204161,-1,30.288674072378868,183.49409995524584,-1,18.154138247953377,7.546976781078381,-97.7399866261889,1.19365656375885
1776870138526624800,46.99162475585938,157.02978968204744,8.258183959688402,-1,30.288676553121185,183.48040270389802,-1,14.733854041047614,7.683172305193773,-97.7400075134892,1.9615498781204224
1776870139526912800,47.991912841796875,156.99059752377224,8.28525815672176,-1,30.288671651811573,183.44121054562282,-1,15.122841868538018,7.826996147437591,-97.73999998545146,1.19365656375885
1776870140526951000,48.99195092773437,157.0219264663366,8.155525050311587,-1,30.288666203714893,183.47253948818718,-1,15.752650715266617,7.907986140505312,-97.73999197675565,1.174229383468628
