time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1776815458062073000,-6.291927001953125,163.3327173796263,-1,-1,30.288693255768205,189.7833304014769,-1,16.524538943986208,3,-97.7399751907116,-1
1776815464454509000,0.100509033203125,163.3327173796263,-1,-1,30.288693255768205,189.7833304014769,-1,16.524538943986208,3,-97.7399751907116,-1
1776815464498190800,0.14419091796875,163.33263154893783,-1,-1,30.288675880905014,189.7832445707884,-1,21.99023201475392,5.203766602055625,-97.74000357408268,-1
1776815464546313000,0.19231298828125,163.3327173796263,-1,-1,30.288675876614942,189.7833304014769,-1,21.988405179846907,5.203766605587863,-97.74000363911865,-1
1776815464928267000,0.57426708984375,163.33258577257064,-1,-1,30.28870859875878,189.78319879442122,-1,16.24914740418325,5.212645157008088,-97.74000752450549,-1
1776815470963100000,6.609099853515625,163.2745246260704,-1,-1,30.28868588007672,189.72513764792097,-1,21.808109504167344,3,-97.74002357413748,-1
1776815471459429000,7.10542919921875,163.17923272617708,-1,-1,30.28867461892209,189.62984574802766,-1,16.179736683122105,3,-97.74001583653573,-1
1776815477486277000,13.132277099609375,163.13574699482965,-1,-1,30.288664442717756,189.58636001668023,-1,21.730430136993483,3,-97.74002874345746,-1
1776815477945436000,13.591435791015625,163.0942094827017,-1,-1,30.288704956526747,189.5448225045523,-1,16.17942224650072,3,-97.74006113772481,-1
1776815483972925000,19.618925048828125,163.06405952057713,-1,-1,30.288683300314965,189.51467254242772,-1,21.94745565893984,3,-97.74005746642138,-1
1776815484472228000,20.11822802734375,163.0329166363358,-1,-1,30.288689377727806,189.4835296581864,-1,16.256776030468632,3,-97.74004522965684,-1
1776815490500591900,26.146591796875,163.01464228564274,-1,-1,30.288673990017458,189.46525530749332,-1,21.61414112680401,3,-97.74004740342386,-1
1776815490925451000,26.571450927734375,163.03759351245776,-1,-1,30.28870107984054,189.48820653430835,-1,16.129941637589837,3,-97.73998575214019,-1
1776815492129104100,27.775104248046876,163.05419326820675,-1,-1,30.28869897849557,189.50480629005733,-1,16.052715797744177,3,-97.73998749619183,-1
1776815498149001200,33.79500122070313,163.13516059056232,-1,-1,30.288680107888556,189.5857736124129,-1,21.626804912101363,3,-97.74001050817091,-1
1776815498649997000,34.2959970703125,163.15363925576756,-1,-1,30.288649177286757,189.60425227761814,-1,16.133689834028807,3,-97.7399942683689,-1
1776815504675404000,40.32140405273437,163.1722061010647,-1,-1,30.2886482558835,189.62281912291527,-1,21.911113219244314,3,-97.74001538064084,-1
1776815505103186200,40.74918627929687,163.17430512881535,-1,-1,30.288669061930477,189.62491815066593,-1,16.250493378519884,3,-97.74004149562361,-1
1776815511128504000,46.77450415039063,163.1764179558137,-1,-1,30.28866100967188,189.62703097766428,-1,21.597805566380917,3,-97.74004501008491,-1
1776815511573840100,47.219840087890624,163.1646483511216,-1,-1,30.288705435601912,189.61526137297218,-1,16.122471806311008,3,-97.74007511999778,-1
1776815517600121900,53.24612182617187,163.16734769829392,-1,-1,30.28868378067412,189.6179607201445,-1,21.857132837377247,3,-97.74006632467504,-1
1776815518010388000,53.656387939453126,163.16149697925832,-1,-1,30.28872517555374,189.6121100011089,-1,16.224543520244985,3,-97.74006986594651,-1
1776815524035425000,59.681425048828125,163.15572527402557,-1,-1,30.288696983935566,189.60633829587616,-1,21.57583636741306,3,-97.74006318278364,-1
1776815524495723000,60.141722900390626,163.14140219094537,-1,-1,30.288680561235452,189.59201521279596,-1,16.11340607695081,3,-97.74007430168035,-1
1776815530515612200,66.16161206054687,163.12709678395,-1,-1,30.28866811221,189.5777098058006,-1,21.825020449761713,3,-97.74006583294688,-1
1776815530934073000,66.58007299804687,163.15325849911574,-1,-1,30.288655190907292,189.60387152096632,-1,16.21339825240829,3,-97.74009053649286,-1
1776815536952501000,72.5985009765625,163.17932601012515,-1,-1,30.288652140795826,189.62993903197574,-1,21.563920220558586,3,-97.74007644415225,-1
1776815537431545900,73.0775458984375,163.20426994747896,-1,-1,30.288689118312373,189.65488296932955,-1,16.119838982591542,3,-97.73998865439268,-1
