time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1776870883578783200,0.304783203125,-1.1806606769073567,0.5623138546943665,-0.555654096096139,-0.0771428793668747,-7.577591350333421e-17,0.8305227631028955,-0.04285841442883084,right,-0.5249871015548706,-0.06395249817842145,-9.051212740725278,-3.721979372936487,-0.03847511258954109,0.7756216526031494,1.158133625984192,0.626732407297939,0.30195268988609314
1776870883618783200,0.344783203125,-0.5566339506426292,0.6428998708724976,-0.287887812345007,-0.09733010828495026,0.15611026377624693,0.9355064870028613,0.23129110692636956,right,-0.11103963851928711,-0.34473198339511807,-4.876332655917108,-7.836355889204144,-0.13258056467607982,0.7974122762680054,0.7340283393859863,3.3141032131835817,0.016852617263793945
1776870883658783200,0.384783203125,0.16225404504299462,0.7234859466552734,0.01325790849751876,-0.11751732975244522,0.29412004103181094,0.9320214309848628,0.6440177379669436,right,-0.005386471748352051,-0.39639909425222947,1.4613526550114153,-8.927399314051867,-0.2113138126647744,0.8192028999328613,0.08937816321849823,3.786340201427042,-0.04236665368080139
1776870883698783200,0.424783203125,0.25183451762553094,0.7209692597389221,0.056969204965719396,-0.14933814108371735,0.3264994107602417,0.9221960839671438,0.7235640283761263,right,-0.024741053581237793,-0.336646384659432,2.306464047731459,-8.964211918142437,-0.19926586998945622,0.7629500031471252,-0.0030430853366851807,3.2393685824558136,-0.035531431436538696
1776870883738783200,0.464783203125,0.2525339362820025,0.7091675400733948,0.05820340998040434,-0.16964931786060333,0.33232193859203324,0.9209854865364699,0.7343243753535499,right,-0.024185001850128174,-0.32593325163367004,2.3212714485019443,-8.995684914770722,-0.19483346295128487,0.7281579375267029,-0.005303233861923218,3.1400217807799575,-0.03301572799682617
1776870883778783000,0.504782958984375,0.24953020101636117,0.609704315662384,0.06261796376689695,-0.1362871527671814,0.3512307922639847,0.9177928450213827,0.7662773362030187,right,-0.008202731609344482,-0.2795384043891703,2.327734507036209,-9.134047675800323,-0.17427609942106104,0.6354115009307861,0.011825665831565857,2.705773162408173,-0.019327610731124878
1776870883818783200,0.544783203125,0.24855232886826759,0.5862290263175964,0.06668833768879073,-0.12467311322689056,0.3667634537602815,0.9141676641659445,0.7937764557238499,right,-0.017155587673187256,-0.24452537065349061,2.3406809362404046,-9.22252733876407,-0.15916857670668297,0.6936304569244385,0.01856638491153717,2.3741499289914962,-0.05984984338283539
1776870883858783200,0.584783203125,0.2509258125757981,0.5692480206489563,0.0697843805699047,-0.1318562924861908,0.37151151268874705,0.9129354053878087,0.8022206620908638,right,-0.017611384391784668,-0.23103971075571234,2.370298660390824,-9.247121097272634,-0.15381215991417505,0.7244610786437988,0.009716376662254333,2.2456229177996514,-0.06499043107032776
1776870883898783200,0.624783203125,0.25151104826808585,0.5332076549530029,0.07377624994496479,-0.12986421585083008,0.3778775632428024,0.9115795182485109,0.8124078863209958,right,-0.0151292085647583,-0.2086190297679481,2.3876420093797144,-9.29216844574511,-0.14418152435856244,0.7147094011306763,0.0064870864152908325,2.0310469779223204,-0.0680026113986969
1776870883938783200,0.664783203125,0.2502372754070819,0.4582147002220154,0.08219133751067018,-0.19880852103233337,0.391466069567231,0.9084042722150207,0.8336071850791207,right,-0.02860879898071289,-0.15732638017905964,2.398465893471986,-9.383866486233472,-0.1216575132680487,0.6416262984275818,-0.011940613389015198,1.5364887061469257,-0.06972131133079529
1776870883978783200,0.704783203125,0.24471313906927042,0.43632203340530396,0.08498443994235365,-0.20819611847400665,0.39895508575781763,0.9066116997637799,0.8449096294480055,right,-0.0040087103843688965,-0.12840134633104816,2.3563763718917965,-9.436154891875386,-0.10801689559299359,0.6011502146720886,-0.02165207266807556,1.2557307137012481,-0.07535205036401749
