time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1776870884277000000,1.003,0.3499999940395355,unplugged,true
1776870885293000000,2.019,0.3499999940395355,unplugged,true
1776870886293000000,3.019,0.3499999940395355,unplugged,true
1776870887294000000,4.020000244140625,0.3499999940395355,unplugged,true
1776870888295000000,5.021,0.3499999940395355,unplugged,true
1776870889296000000,6.022,0.3499999940395355,unplugged,true
1776870890312000000,7.038,0.3499999940395355,unplugged,true
1776870891313000000,8.039,0.3499999940395355,unplugged,true
1776870892313000000,9.039,0.3499999940395355,unplugged,true
1776870893314000000,10.039999755859375,0.3499999940395355,unplugged,true
1776870894314000000,11.039999755859375,0.3499999940395355,unplugged,true
1776870895315000000,12.041,0.3499999940395355,unplugged,true
1776870896315000000,13.041,0.3499999940395355,unplugged,true
1776870897332000000,14.058,0.3499999940395355,unplugged,true
1776870898333000000,15.059,0.3499999940395355,unplugged,true
1776870899333000000,16.059,0.3499999940395355,unplugged,true
1776870900334000000,17.060000244140625,0.3499999940395355,unplugged,true
1776870901335000000,18.061,0.3499999940395355,unplugged,true
1776870902335000000,19.061,0.3499999940395355,unplugged,true
1776870903335000000,20.061,0.3499999940395355,unplugged,true
1776870904336000000,21.062,0.3499999940395355,unplugged,true
1776870905353000000,22.079,0.3499999940395355,unplugged,true
1776870906353000000,23.079,0.3499999940395355,unplugged,true
1776870907354000000,24.079999755859376,0.3499999940395355,unplugged,true
1776870908355000000,25.081,0.3499999940395355,unplugged,true
1776870909355000000,26.081,0.3499999940395355,unplugged,true
1776870910355000000,27.081,0.3499999940395355,unplugged,true
1776870911356000000,28.082,0.3499999940395355,unplugged,true
1776870912356000000,29.082,0.3499999940395355,unplugged,true
1776870913357000000,30.083,0.3499999940395355,unplugged,true
1776870914357000000,31.083,0.3499999940395355,unplugged,true
1776870915358000000,32.084000244140626,0.3499999940395355,unplugged,true
1776870916359000000,33.085,0.3499999940395355,unplugged,true
1776870917377000000,34.103,0.3499999940395355,unplugged,true
1776870918378000000,35.10399975585938,0.3499999940395355,unplugged,true
1776870919393000000,36.119,0.3499999940395355,unplugged,true
1776870920394000000,37.119999755859375,0.3499999940395355,unplugged,true
1776870921394000000,38.119999755859375,0.3499999940395355,unplugged,true
1776870922395000000,39.121,0.3499999940395355,unplugged,true
1776870923395000000,40.121,0.3499999940395355,unplugged,true
1776870924395000000,41.121,0.3499999940395355,unplugged,true
1776870925397000000,42.123,0.3499999940395355,unplugged,true
1776870926397000000,43.123,0.3499999940395355,unplugged,true
1776870927414000000,44.14000024414062,0.3499999940395355,unplugged,true
1776870928414000000,45.14000024414062,0.3499999940395355,unplugged,true
1776870929416000000,46.142,0.3499999940395355,unplugged,true
1776870930432000000,47.158,0.3499999940395355,unplugged,true
1776870931432000000,48.158,0.3499999940395355,unplugged,true
1776870932433000000,49.159,0.3499999940395355,unplugged,true
1776870933433000000,50.159,0.3499999940395355,unplugged,true
1776870934438000000,51.164000244140624,0.3499999940395355,unplugged,true
1776870935451000000,52.177,0.3499999940395355,unplugged,true
1776870936452000000,53.178,0.3499999940395355,unplugged,true
1776870937452000000,54.178,0.3499999940395355,unplugged,true
1776870938452000000,55.178,0.3499999940395355,unplugged,true
1776870939453000000,56.179,0.3499999940395355,unplugged,true
1776870940454000000,57.18000024414062,0.3499999940395355,unplugged,true
1776870941454000000,58.18000024414062,0.3499999940395355,unplugged,true
1776870942454000000,59.18000024414062,0.3499999940395355,unplugged,true
1776870943455000000,60.181,0.3499999940395355,unplugged,true
1776870944455000000,61.181,0.3499999940395355,unplugged,true
1776870945456000000,62.182,0.3499999940395355,unplugged,true
1776870946456000000,63.182,0.3499999940395355,unplugged,true
1776870947457000000,64.183,0.3499999940395355,unplugged,true
