time,seconds_elapsed,roll,rotationRateZ,quaternionY,rotationRateY,quaternionZ,quaternionW,yaw,devicelocation,accelerationZ,pitch,gravityX,gravityZ,quaternionX,rotationRateX,accelerationX,gravityY,accelerationY
1776817174870664400,0.69866455078125,-0.2784303290960019,-0.6019567251205444,-0.138762778262676,0.1330932080745697,7.553405153560135e-17,0.9903180253729582,-0.0010829316838208993,right,0.015624642372131348,-0.00772847890675616,-2.6952444618701934,-9.428695223519206,-0.00390197985533912,0.33758246898651123,0.021989256143569946,0.07578970187180675,-0.08415921032428741
1776817174910664200,0.738664306640625,-0.2759240961881617,-0.5226180553436279,-0.13757281508977878,0.14557945728302002,-0.0079483655768524,0.99043388705064,-0.013775122577804154,right,0.01158297061920166,0.016383520801162857,-2.671326995187998,-9.434436397519708,0.0071664701690969555,0.32991307973861694,0.029407069087028503,-0.16066028009345754,-0.08224717527627945
1776817174950664200,0.778664306640625,-0.26877225025781365,-0.4176621735095978,-0.13424911919802127,0.12624429166316986,-0.016813116766905927,0.9905851358092963,-0.02773819648078526,right,-0.005789041519165039,0.045882113894438685,-2.6013945040449498,-9.444618768838048,0.020872373104336116,0.3032687306404114,0.031205162405967712,-0.44979196873400357,-0.06804858148097992
1776817174990664400,0.81866455078125,-0.25930328159097943,-0.2907653748989105,-0.12991568353860145,0.10788184404373169,-0.024627393512790773,0.9906104802980964,-0.039891338908484945,right,0.002367854118347168,0.07528214627325906,-2.5073726967841385,-9.451955103075504,0.03473216235843027,0.2540436089038849,0.0356629341840744,-0.7375684981722385,-0.052207574248313904
1776817175030664400,0.85866455078125,-0.24783229161793044,-0.19081565737724304,-0.12462829150020918,0.11764258146286011,-0.030492183223515858,0.9906270228278327,-0.04899917342172817,right,-0.0019052624702453613,0.10061761044503166,-2.3934334522627294,-9.45893897061348,0.04686301857038329,0.24589228630065918,0.031141549348831177,-0.9850575504835695,-0.04092427343130112
1776817175070664400,0.89866455078125,-0.24185774613203287,-0.149568110704422,-0.12184168315270029,0.12210404872894287,-0.032405375269034406,0.9906401617292111,-0.05180271150828229,right,0.0022254586219787598,0.11177516445583995,-2.3341005349367854,-9.46180897309184,0.05231259318532519,0.24104619026184082,0.029429897665977478,-1.0938587745293975,-0.036746710538864136
1776817175110664400,0.93866455078125,-0.23584382397815784,-0.10832054913043976,-0.11905006166196548,0.12656551599502563,-0.03431732313089545,0.9906125215866142,-0.05467722552907833,right,0.006209194660186768,0.12291584110585888,-2.2741673136301337,-9.463238129112124,0.05776002480799692,0.23620010912418365,0.027657032012939453,-1.2023596273891628,-0.032599762082099915
1776817175150664400,0.97866455078125,-0.230389873654531,-0.08890913426876068,-0.11646601710860625,0.1313798427581787,-0.03521695817035562,0.990644019355743,-0.05588655195792556,right,0.008354663848876953,0.13103071922826187,-2.220220473256707,-9.465689613917469,0.06180471258594802,0.2650125026702881,0.0175570547580719,-1.2812984318085014,-0.040795087814331055
1776817175190664200,1.018664306640625,-0.21920672904271418,0.02007446624338627,-0.11111227393524091,0.10391015559434891,-0.035545293387463976,0.990454232343082,-0.05477016081632815,right,-0.00119096040725708,0.1539530420125934,-2.107286021863669,-9.458768290221691,0.07342417590092105,0.3153490722179413,-0.009483814239501953,-1.5038066259898244,-0.041630059480667114
1776817175230664400,1.05866455078125,-0.21690537590586537,0.14533787965774536,-0.10977519894832637,0.10166183859109879,-0.03214927609254697,0.9900853426823785,-0.046441883796903845,right,-0.002584397792816162,0.1693068383796078,-2.0802979155644774,-9.43993031876087,0.08152870546910247,0.284860759973526,-0.0174398273229599,-1.6524119640924035,-0.0338405966758728
1776817175270664400,1.09866455078125,-0.2163872052633941,0.3113836646080017,-0.1090085847217644,0.10044678300619125,-0.02612009964983451,0.9897180525950396,-0.03288609191374661,right,-0.0017382502555847168,0.1825665274415237,-2.070519595002383,-9.418777640616893,0.08884318730867022,0.2500572204589844,-0.027104035019874573,-1.7804368709810077,-0.05070537328720093
1776817175310664400,1.13866455078125,-0.21759680053853708,0.5224188566207886,-0.10877192816456512,0.0996861457824707,-0.01752037267269029,0.9894508540233717,-0.014471107752426786,right,-0.006549835205078125,0.1911248793951337,-2.0785452266782523,-9.401043831005692,0.09406832153130233,0.29881101846694946,-0.032282471656799316,-1.8629045801788569,-0.07183018326759338
1776817175350664400,1.17866455078125,-0.2208893017571886,0.7393174171447754,-0.1088260044466241,0.12260787189006805,-0.0027524467900216115,0.9889607921485114,0.016773838654920544,right,-0.0032998323440551758,0.20078279216955208,-2.105446677607298,-9.376156642508507,0.10052844576660569,0.31376346945762634,-0.021421894431114197,-1.95580352088958,-0.033862724900245667
1776817175390664400,1.21866455078125,-0.22307889101769288,0.7845370173454285,-0.10844508912454176,0.16533643007278442,0.010098532779766271,0.9884877034632186,0.0436884254156392,right,-0.0015465021133422852,0.20691043036335965,-2.123280294331163,-9.359660850259662,0.10502279743224435,0.25469261407852173,-0.018356382846832275,-2.0146508466556665,0.0055539608001708984
1776817175430664200,1.258664306640625,-0.22313044729675574,0.7364639043807983,-0.1070656680019094,0.212309330701828,0.022451939243316316,0.9881344082622027,0.06902393317449092,right,0.003593742847442627,0.20979275609833092,-2.122468977948278,-9.353849533632397,0.10781168350817158,0.19009730219841003,-0.0064696818590164185,-2.0423054540395738,0.02319730818271637
1776817175470664400,1.29866455078125,-0.22325673865230714,0.6883907914161682,-0.10566886986470518,0.2592822313308716,0.03480170791341154,0.9876206009457231,0.09437527062089794,right,0.00871044397354126,0.21267286293758275,-2.122339214088768,-9.347806161814928,0.11058305626595029,0.12550199031829834,0.005486533045768738,-2.0699219213701783,0.04083676636219025
1776817175510664400,1.33866455078125,-0.21620361984717357,0.46452510356903076,-0.10062482769097754,0.3483113646507263,0.04962631666803597,0.9874462675027456,0.12343003360381664,right,0.011446833610534668,0.21115476026600433,-2.0570275146141648,-9.365601346224546,0.11118398954980309,0.1132182776927948,0.01753854751586914,-2.055367472447455,0.046817347407341
1776817175550664400,1.37866455078125,-0.20632332712302381,0.2211843580007553,-0.09521501246550546,0.32231640815734863,0.05536730202803456,0.9877165011607607,0.1338092950159315,right,0.0004671812057495117,0.20994511491949278,-1.9649016041025518,-9.387894426575302,0.11083636684965088,0.05331113189458847,0.016707152128219604,-2.0437669048942624,0.05002070963382721
1776817175590664400,1.41866455078125,-0.1964331711785697,-0.022156402468681335,-0.08979924618849937,0.29632148146629333,0.06110489218331156,0.9879251400473328,0.14419783140451978,right,-0.010624825954437256,0.2088358199113994,-1.8724005766682326,-9.409085683164,0.11048180291496165,-0.006596013903617859,0.015837490558624268,-2.033125976153463,0.05332194268703461
1776817175630664400,1.45866455078125,-0.18508155624189115,-0.30479106307029724,-0.0847481478720659,0.16399547457695007,0.05781851756659408,0.9887980999108122,0.13600391832686146,right,-0.021113097667694092,0.20604864812379395,-1.7665099063068628,-9.435267003124952,0.10841129388587152,-0.062474705278873444,0.00294455885887146,-2.0063791312642394,0.033445537090301514
1776817175670664200,1.498664306640625,-0.17632183970223275,-0.46612635254859924,-0.08165992316857143,0.09387469291687012,0.04746384990709904,0.9898251693937904,0.11395438438474177,right,-0.031300902366638184,0.20434049067802174,-1.684391595068574,-9.453739648404717,0.10641940163882993,-0.07398799061775208,0.00515437126159668,-1.9899793467357754,0.02896025776863098
1776817175710664200,1.538664306640625,-0.17253557843634842,-0.47974297404289246,-0.08059866488504465,0.030231423676013947,0.04055122958369826,0.9903704687400282,0.09944714906295135,right,-0.03135085105895996,0.20283761355211602,-1.649096848195046,-9.46298503113389,0.10500430591963054,-0.09650793671607971,0.009807005524635315,-1.9755454554527996,0.01345747709274292
1776817175750664400,1.57866455078125,-0.1687731637688673,-0.49335962533950806,-0.07953328393233741,-0.03341183811426163,0.03363655288278027,0.9908650199632303,0.08495041303329824,right,-0.0314098596572876,0.20128114020343155,-1.6139961625888943,-9.472142151057719,0.10358384693810577,-0.11902788281440735,0.01447942852973938,-1.9605922164708374,-0.00209827721118927
