time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1776817174260909600,0.08890966796875,2.993297414269931,0.009802265652600594,-0.9904744837386337,0.0371878896875299,-0.07140797022320147,-0.11732473649048215,0.23312015178057813
1776817174270946600,0.098946533203125,2.998287274730181,0.010281524163978158,-0.9909725132449716,0.03714319725119685,-0.06901507870346486,-0.11447550027499445,0.22742028715143217
1776817174280983600,0.108983642578125,3.006294995067223,0.009993478647355754,-0.9918830206332276,0.03483239867903972,-0.06532188776251474,-0.10863387738157235,0.2158713249357593
1776817174291019500,0.11901953125,3.015182708225481,0.007104867209719529,-0.9931164258769014,0.026872874213758384,-0.06152374206152597,-0.09941970574612828,0.19788541045758
1776817174301056500,0.129056396484375,3.0231182870817817,0.0035848811978317244,-0.9943858743731708,0.017681329474834723,-0.05819482575747232,-0.08830206784716352,0.1761042493039639
1776817174311093500,0.139093505859375,3.0308831874843527,0.0020412822175985006,-0.9954185420408079,0.012793534703708512,-0.054656529679758,-0.07842506829071637,0.15654702802556456
1776817174321129500,0.14912939453125,3.03934260616154,0.002385719743732805,-0.9961273722483565,0.012145996142852363,-0.05053549376966086,-0.07190863968888425,0.14351130893329384
1776817174331166500,0.15916650390625,3.0475458095281027,0.005191570902022626,-0.9964865961008762,0.016955247076800614,-0.046304841684159596,-0.06959361735654752,0.1386613365056878
1776817174341203500,0.169203369140625,3.0542993719572915,0.010279195396553495,-0.996491817268854,0.026830442696602445,-0.04257039306484797,-0.07131664316037974,0.14173176294511128
1776817174351239400,0.179239501953125,3.0586423143696457,0.020585973754120124,-0.9960194622224184,0.04768217799048966,-0.03951321711076832,-0.07720228138563777,0.15275650476950178
1776817174361276400,0.1892763671875,3.0604855463575773,0.036477470748790874,-0.9948748606742496,0.0802443372588999,-0.036944084374157325,-0.0867677616244936,0.17077981973581555
1776817174371313700,0.199313720703125,3.0608525524350556,0.051332477286008094,-0.9933498663215492,0.11096825229322202,-0.03485179783115444,-0.09698663677119576,0.1902508930853406
