time,seconds_elapsed,magneticBearing
1776870447522145300,0.121145263671875,97.97427693090975
1776870447532184300,0.131184326171875,98.86981312217098
1776870447542222300,0.141222412109375,100.16701182225918
1776870447552260400,0.15126025390625,101.42413061997408
1776870447562299100,0.161299072265625,102.67547500222693
1776870447572337400,0.17133740234375,103.17262257616893
1776870447582376200,0.181376220703125,103.17262257616893
1776870447592414500,0.19141455078125,104.30972943180556
1776870447602452200,0.2014521484375,106.56281920316242
1776870447612491300,0.2114912109375,109.15726221405797
1776870447622529300,0.221529296875,113.76319018278377
1776870447632567300,0.2315673828125,139.4092470708206
1776870447642606300,0.2416064453125,220.5577503025346
1776870447652644400,0.251644287109375,263.2804216524354
1776870447662682400,0.261682373046875,274.26326729393423
1776870447672721400,0.271721435546875,282.4127165594372
1776870447682759200,0.28175927734375,286.6475228756932
1776870447692798500,0.291798583984375,289.496961076351
1776870447702836200,0.301836181640625,290.30643718173457
1776870447712874500,0.31187451171875,290.8312779718717
1776870447722913300,0.321913330078125,292.3244468095925
1776870447732951300,0.331951416015625,290.8147987087588
1776870447742989300,0.3419892578125,290.28002166428143
1776870447753028400,0.3520283203125,288.4430441089842
1776870447763066400,0.36206640625,287.84648395895545
1776870447773105400,0.37210546875,288.0643675052112
1776870447783143200,0.38214306640625,289.87540879041745
1776870447793181400,0.392181396484375,291.63194958029953
1776870447803220200,0.40222021484375,293.6225206244009
1776870447813258500,0.412258544921875,295.90529337131295
1776870447823296300,0.422296142578125,297.1648944719688
1776870447833335300,0.432335205078125,297.81085257189625
1776870447843373300,0.442373291015625,298.0736884380473
1776870447853411300,0.452411376953125,298.65069393282283
1776870447863450400,0.462450439453125,298.13038104763694
1776870447873488400,0.47248828125,296.787122920914
1776870447883527200,0.482527099609375,296.3934819731126
1776870447893565400,0.4925654296875,295.7226041883978
1776870447903603200,0.502603271484375,295.1625484787286
1776870447913642500,0.512642578125,295.76001998822375
1776870447923680300,0.52268017578125,296.8225780203308
1776870447933718500,0.532718505859375,298.15435300584903
1776870447943757300,0.54275732421875,298.8465878528165
1776870447953795300,0.55279541015625,301.5578876702125
1776870447963833300,0.562833251953125,302.12139440542364
1776870447973872400,0.572872314453125,302.0255854276501
1776870447983910400,0.582910400390625,304.13178227750194
1776870447993949400,0.592949462890625,305.06024056121555
1776870448003987200,0.6029873046875,305.69774412617005
1776870448014025500,0.613025390625,307.0686978357704
1776870448024064300,0.623064208984375,307.9850180266456
1776870448034102500,0.6331025390625,309.2704657947364
1776870448044141300,0.643141357421875,311.6612188226752
1776870448054179300,0.653179443359375,314.75876255357247
1776870448064217300,0.66321728515625,317.6371459434338
1776870448074256400,0.67325634765625,319.96042612457353
1776870448084294400,0.68329443359375,324.25545596295683
1776870448094332000,0.693331787109375,328.5908573028275
1776870448104371000,0.703370849609375,332.4371490395979
1776870448114409000,0.713408935546875,336.69141915515064
1776870448124447200,0.723447265625,340.6587244165224
1776870448134486000,0.733486083984375,343.08688908157586
1776870448144524000,0.74352392578125,346.19818878599233
1776870448154563000,0.75356298828125,349.2600390273015
1776870448164601000,0.76360107421875,352.5940255754388
1776870448174639000,0.77363916015625,354.5638739308154
1776870448184678100,0.78367822265625,357.2342977981858
1776870448194716000,0.7937158203125,359.12087941200247
1776870448204754200,0.803754150390625,0.4881643741666327
1776870448214793000,0.81379296875,1.4910250957299696
1776870448224831200,0.823831298828125,3.0636807276771973
1776870448234870000,0.8338701171875,4.580419737473437
1776870448244908000,0.843907958984375,4.614276393390843
1776870448254946000,0.853946044921875,5.112741088156345
1776870448264985000,0.863985107421875,6.115150662396518
1776870448275023000,0.874023193359375,5.952187167260376
1776870448285061000,0.88406103515625,6.908168192877791
1776870448295100000,0.894099853515625,7.330417806861559
1776870448305138200,0.90413818359375,7.132391662067319
1776870448315177000,0.914177001953125,7.125410535630919
1776870448325215000,0.924215087890625,7.132505788252364
1776870448335253000,0.9342529296875,6.715402870475527
1776870448345292000,0.9442919921875,5.798108953093407
1776870448355330000,0.954330078125,3.755656903227941
1776870448365368000,0.9643681640625,2.392937846918186
1776870448375407000,0.974406982421875,0.4571667624595082
1776870448385445000,0.984445068359375,359.4014020973854
1776870448395483100,0.994483154296875,358.08824744715866
1776870448405522200,1.004522216796875,356.55379309229096
1776870448415560000,1.014559814453125,355.36063416984325
1776870448425599000,1.024598876953125,354.1838511114901
1776870448435637000,1.034636962890625,353.04551979082567
1776870448445675000,1.044675048828125,353.114097265212
1776870448455714000,1.054714111328125,351.68276859189655
1776870448465752000,1.064751953125,351.3103733535731
1776870448475791000,1.074791015625,349.6813730870659
1776870448485829000,1.0848291015625,348.16557488322337
1776870448495867100,1.0948671875,346.92332062182237
1776870448505906200,1.10490625,346.17595922253935
1776870448515944000,1.11494384765625,345.50631591698266
1776870448525982000,1.12498193359375,344.08576553509056
1776870448536021000,1.13502099609375,343.0943535521366
1776870448546059000,1.14505908203125,342.00155369235
1776870448556098000,1.15509814453125,341.56330744073915
1776870448566136000,1.165135986328125,340.0994770414786
1776870448576174000,1.175174072265625,338.83888241934153
1776870448586213000,1.185213134765625,336.74921052090724
1776870448596251100,1.195251220703125,335.02554140581174
1776870448606290200,1.205290283203125,333.06857030688946
1776870448616328000,1.215327880859375,330.87321824945894
1776870448626366000,1.225365966796875,329.5789273539235
1776870448636405000,1.235405029296875,328.1767227005053
1776870448646443000,1.245443115234375,326.0959718776994
1776870448656481000,1.25548095703125,324.36380669004086
1776870448666520000,1.26552001953125,322.82731116524053
1776870448676558000,1.27555810546875,321.866725334355
1776870448686597000,1.28559716796875,321.24370436747506
1776870448696635000,1.295634765625,320.16763341923644
1776870448706673000,1.3056728515625,320.4644149261077
1776870448716712000,1.3157119140625,320.58227784986315
1776870448726750000,1.32575,320.3545752466807
1776870448736789000,1.3357890625,320.23857386424623
1776870448746827000,1.345826904296875,321.3831317924978
1776870448756865000,1.355864990234375,320.88786307169187
1776870448766904000,1.365904052734375,320.64502815798653
1776870448776942000,1.375942138671875,320.267985446537
1776870448786979800,1.385979736328125,320.86941405061754
1776870448797019000,1.396018798828125,320.5469424733951
1776870448807057000,1.406056884765625,320.2245475547675
1776870448817096000,1.416095947265625,320.3068460594807
1776870448827134000,1.426134033203125,320.55210966775536
1776870448837172000,1.436171875,320.8207155072469
1776870448847211000,1.4462109375,322.30356913959054
1776870448857249000,1.4562490234375,323.40420783667366
1776870448867288000,1.4662880859375,324.5884042290786
1776870448877326000,1.476326171875,325.8346859878336
1776870448887363800,1.48636376953125,327.4525356734915
1776870448897403000,1.49640283203125,329.16853590836183
1776870448907441000,1.50644091796875,330.85179116872786
1776870448917479000,1.51647900390625,332.05417986951795
1776870448927518200,1.526518310546875,333.3169304597727
1776870448937556000,1.536555908203125,333.8378285231005
1776870448947595000,1.546594970703125,334.66763290391043
1776870448957633000,1.556633056640625,335.19053913409357
1776870448967671000,1.566671142578125,335.14315320972815
1776870448977710000,1.5767099609375,335.9963018467257
1776870448987747800,1.586747802734375,336.40333387428126
1776870448997787000,1.596786865234375,336.99272416113814
1776870449007825000,1.606824951171875,336.5260808277674
1776870449017863000,1.61686279296875,336.5869782703333
1776870449027902200,1.626902099609375,336.2725670425953
1776870449037940000,1.63693994140625,335.2894894153454
1776870449047979000,1.64697900390625,334.83712576771336
1776870449058017000,1.65701708984375,335.00075114251683
1776870449068055000,1.667054931640625,336.00973959932315
1776870449078094000,1.677093994140625,336.7551116409065
1776870449088131800,1.6871318359375,337.9508086491802
1776870449098171600,1.697171630859375,339.50078405516416
1776870449108209700,1.707209716796875,341.3319839797682
1776870449118247400,1.717247314453125,342.99018112049157
1776870449128286700,1.72728662109375,344.5409524239502
1776870449138324500,1.737324462890625,346.0620635185173
1776870449148363500,1.747363525390625,347.2174524899058
1776870449158401500,1.757401611328125,349.1259777127934
1776870449168439600,1.767439453125,350.6440890772992
1776870449178478600,1.777478515625,352.1429994087318
1776870449188516600,1.7875166015625,353.4076555204977
1776870449198555600,1.7975556640625,355.4591604985476
1776870449208593700,1.80759375,355.8994128990722
1776870449218631400,1.81763134765625,356.9827225915185
1776870449228670700,1.827670654296875,357.565690679148
1776870449238708500,1.83770849609375,357.9193940843891
1776870449248747500,1.84774755859375,358.6627501453624
1776870449258785500,1.85778564453125,359.0703372893591
1776870449268823600,1.867823486328125,359.63572597933353
1776870449278862600,1.877862548828125,359.92902953540306
