time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1776556526375258600,0.097258544921875,1.236330581255975,-0.24043058297302153,-0.5535656843981058,-0.0030204917749784826,-0.7791831723480541,-0.16920919539603302,0.5968208236129745
1776556526385297000,0.107296875,1.240305202475501,-0.2392678942793367,-0.5552453683564735,-0.0038782376553552376,-0.7784793626355314,-0.16859216519606615,0.5940844078592811
1776556526395335700,0.117335693359375,1.2441267412639683,-0.23807296617615065,-0.5568147493776764,-0.005789232845765394,-0.7780039257734235,-0.16729742528891609,0.5904690958137877
1776556526405374700,0.127374755859375,1.2480396811104324,-0.2371239001294425,-0.5583295967601875,-0.008329220110571408,-0.7775252911331771,-0.1658157577840292,0.5870404138153512
1776556526415413800,0.137413818359375,1.252172896587112,-0.23657201657880456,-0.5597840800709436,-0.011870957747521425,-0.7770198759133091,-0.16405941160974372,0.5839432051979428
1776556526425452800,0.147452880859375,1.2561196162575297,-0.23644911539629154,-0.5610181641528543,-0.01646726578454084,-0.7766101266349587,-0.16194810548653088,0.581130506145673
1776556526435491800,0.157491943359375,1.2597688809980454,-0.2366322615408158,-0.5620415143425099,-0.021698404299533694,-0.7762957574310854,-0.15962265195081823,0.5785641715882034
1776556526445531000,0.16753076171875,1.2628016792972856,-0.23714815423511915,-0.5627339184849205,-0.027474222334879318,-0.7761509941607774,-0.15710154328074658,0.5763155097458078
1776556526455569000,0.17756884765625,1.2647737678109263,-0.23777565304301695,-0.5630029551795559,-0.033380066317825766,-0.7763074845397013,-0.1543925049642592,0.5740304678601934
1776556526465608000,0.18760791015625,1.2660286026237213,-0.23814551759768882,-0.5631052584590499,-0.03859004041999872,-0.7766356183945228,-0.1517770416276256,0.571432458830983
1776556526475646700,0.197646728515625,1.2669733670560221,-0.23811261733150085,-0.563195981166438,-0.04368449120681609,-0.7771419098419775,-0.14887255214542625,0.5678057792017775
1776556526485685800,0.207685791015625,1.2674250055794722,-0.23792787863627995,-0.5630786792792863,-0.05000975609304011,-0.7780102909272981,-0.1450269944824815,0.562785180692639
1776556526495724800,0.217724853515625,1.2674331831410628,-0.2378966122639357,-0.5626826180583254,-0.057901419351226384,-0.779176865990826,-0.14027413374950506,0.5569348081744165
1776556526505763800,0.227763916015625,1.2677316517830444,-0.2381490387770211,-0.5623168922778126,-0.066052255896144,-0.7801870547221865,-0.13562036853442164,0.551687175288408
1776556526515803000,0.237802978515625,1.268315203684987,-0.238682622626368,-0.5620752537106873,-0.0725617759948797,-0.7807839125620183,-0.13220619293518354,0.548419032581338
1776556526525841700,0.247841552734375,1.2691481488911482,-0.2390415684965743,-0.5622035973202479,-0.07444988399727018,-0.780704231880582,-0.1314807516697181,0.5481151626576021
1776556526535880000,0.2578798828125,1.270484867701702,-0.23815203070257598,-0.5632791382685174,-0.06734107879144581,-0.7795446611799344,-0.1353156245141587,0.5512367925901613
1776556526545918700,0.267918701171875,1.272377977634317,-0.23516215843130847,-0.5656742260180923,-0.04809724803460083,-0.7769800317165816,-0.14496041730243114,0.5579324792775027
1776556526555957800,0.277957763671875,1.273618655251863,-0.23033444553686344,-0.5687369698685973,-0.0188254552024579,-0.7734124202300935,-0.15911488518477535,0.5672041066321326
1776556526565996800,0.287996826171875,1.273866543361858,-0.2240373455216706,-0.5720370060332359,0.01689240064061235,-0.7692016280691685,-0.17581152490793786,0.5773449748980666
1776556526576035800,0.298035888671875,1.2736916786952954,-0.21718380570089035,-0.5752609153378728,0.05331889390993747,-0.7647848943593843,-0.19238024659770775,0.5866034184993748
1776556526586075000,0.308074951171875,1.2732440983478597,-0.2096114214202342,-0.5784592932094059,0.09020208959503308,-0.7602255940887279,-0.20857827171270604,0.594400301132732
1776556526596113700,0.31811376953125,1.2721453416288138,-0.20027123554023601,-0.5819123139638013,0.13273062484063675,-0.7549238699659704,-0.2266264093404159,0.6018064379476473
1776556526606152000,0.32815185546875,1.270385386809775,-0.1882539155109688,-0.5859612378876304,0.18652602821914605,-0.7477687323248714,-0.24910217791011258,0.6107343627777639
1776556526616191000,0.33819091796875,1.2673140669297127,-0.17333942416841377,-0.5903460088172957,0.253492422254899,-0.738163834804925,-0.2766933964458684,0.6219184465308458
1776556526626229800,0.348229736328125,1.2627924692109531,-0.15765786956000205,-0.594189408136564,0.32525565601499085,-0.7270007315056785,-0.3058642439505978,0.634428552302491
1776556526636268800,0.358268798828125,1.259315498162766,-0.14265537225943023,-0.5977183030099912,0.3923950679891674,-0.7153409381442254,-0.33267042465767577,0.6457290458028289
1776556526646307600,0.3683076171875,1.2606130625597416,-0.12794524408082136,-0.6020268837463064,0.4505899690721413,-0.7035528865827569,-0.3552563071357604,0.6532622265815399
1776556526656347000,0.378346923828125,1.2650391986472667,-0.11237489401272846,-0.6067608271717061,0.5037824948735375,-0.6918640119458084,-0.37488319084826616,0.6565972480086228
1776556526666386000,0.388385986328125,1.267482885718513,-0.09514774642638445,-0.6105151323834956,0.5598597137992776,-0.6801777261614008,-0.3944319992865573,0.6573840346310718
1776556526676423700,0.398423583984375,1.2639543346037634,-0.07826608600354461,-0.6117629256339657,0.6164546781249403,-0.6699848974631879,-0.41320800157186405,0.6566221235949989
1776556526686463000,0.408462890625,1.2524876532972709,-0.06352831740038414,-0.6098512669618136,0.6712289931587528,-0.6621596841051396,-0.43080163880594513,0.6555327228614543
1776556526696501800,0.418501708984375,1.234886821412313,-0.05366800630379268,-0.6052941218052079,0.7152445019188728,-0.6580610905030979,-0.44462826620028145,0.6546673539184559
1776556526706540800,0.428540771484375,1.2129449126327696,-0.04764684124517695,-0.5990615148181033,0.7524929432998851,-0.6561365191191296,-0.4564426326673494,0.6553037392764265
1776556526716579600,0.43857958984375,1.1893484592979857,-0.043897508010046736,-0.5922447859769691,0.7864058927950923,-0.6548226132623822,-0.46746807160529685,0.6575773979554841
1776556526726619000,0.448618896484375,1.167507362409787,-0.04025050820842128,-0.5859958272072101,0.8198757435175783,-0.6527440264141674,-0.47844951583352807,0.660213368156511
1776556526736658000,0.458657958984375,1.1493683669264905,-0.03548610714004852,-0.580864574695036,0.8535853169518719,-0.6494869254785678,-0.4893911781060012,0.6619238238215462
1776556526746695700,0.46869580078125,1.1348318987372013,-0.03299356613482045,-0.5770351661140695,0.8810405197699754,-0.6458259998510247,-0.4988492552709719,0.6666075353467669
1776556526756735000,0.47873486328125,1.1246457309514069,-0.035895730242136145,-0.575055174730439,0.895662398430712,-0.6424056907405674,-0.5053098258177965,0.6780573709165666
1776556526766773800,0.488773681640625,1.1170797428291315,-0.042060249741461594,-0.573827434916475,0.8981155202563673,-0.6410147636342546,-0.5079893728988506,0.6904951150862735
1776556526776812800,0.498812744140625,1.1103346837603487,-0.050831423532743565,-0.5724817139574258,0.8891581795707157,-0.6425397669858594,-0.506777660005234,0.7017619612593153
1776556526786851800,0.508851806640625,1.1074105486892096,-0.06035980208305864,-0.5721209657824258,0.8742669594808847,-0.6444348527684085,-0.5037241962292268,0.7130956508830881
1776556526796892200,0.51889208984375,1.1096114959122696,-0.06965764707445657,-0.5731991806264846,0.856067357127676,-0.6455991585376745,-0.49979221768530363,0.724689252059144
1776556526806931200,0.52893115234375,1.1153152764341332,-0.07833498457634,-0.575097343445916,0.8356281405852979,-0.6465168784846229,-0.49511871562682214,0.7352501390592121
1776556526816969200,0.53896923828125,1.1226725460009626,-0.08607339629403482,-0.5771564779896294,0.8138132069909169,-0.64781588406758,-0.48971051361932033,0.7434051817787738
1776556526827008300,0.54900830078125,1.1315130606609953,-0.09243751405714552,-0.579317874405186,0.791047747327955,-0.6496453872002659,-0.4835358756282103,0.7482334887891033
1776556526837047000,0.559047119140625,1.1412745148323902,-0.09716712585349734,-0.5815136408888323,0.7686281141122023,-0.6518591650483696,-0.4769488075599074,0.7496505616507106
1776556526847086000,0.569086181640625,1.1494577932522339,-0.10051645824065872,-0.5832240589461876,0.7497398984397327,-0.654077751928923,-0.47109292710513306,0.7491227397418408
1776556526857125400,0.57912548828125,1.1526791284315387,-0.10355811974467216,-0.5835138136702557,0.7355498321822505,-0.6566651331745761,-0.466452960689283,0.7482667062185219
1776556526867164200,0.5891640625,1.1485854070967125,-0.10707799398833194,-0.581710851985095,0.7268336691981625,-0.6598667693849766,-0.463381850526151,0.7483395963009284
1776556526877203200,0.599203125,1.1366417303460397,-0.11167332785689821,-0.577589738127828,0.7225244221479956,-0.6639848537571299,-0.46156597998017673,0.7497971781883171
1776556526887241200,0.6092412109375,1.1177829900784833,-0.11769963637861007,-0.5712993406831998,0.7203148263067322,-0.6693059732057522,-0.46020998287966314,0.7523953570875146
1776556526897280300,0.6192802734375,1.0954603381299144,-0.1250829220596892,-0.5638029183822955,0.7175430613247022,-0.6754323405742928,-0.45855400768127225,0.7560297972079645
1776556526907319000,0.629319091796875,1.0732212575361086,-0.13337023758505842,-0.5561094526358772,0.7120929425580068,-0.6819457077785358,-0.45596566737314637,0.7601582717432408
1776556526917358000,0.639358154296875,1.0517395183564329,-0.14296746870368454,-0.5483465418015299,0.7025691441805831,-0.6888506828904993,-0.4520631880857828,0.7652828982024755
1776556526927397400,0.6493974609375,1.030639790318413,-0.15416849336625843,-0.5403389803769046,0.6887478011739119,-0.6961760100052642,-0.4467717791993805,0.7718654156162335
1776556526937436200,0.659436279296875,1.0106673964077348,-0.1662577938919715,-0.5322705548712302,0.6710713143682345,-0.7038123743727374,-0.4401074011908444,0.7789618516325763
1776556526947475200,0.66947509765625,0.9925711567283406,-0.17808027569867693,-0.5242283547870116,0.649358266865161,-0.7121320589241253,-0.4316712848353238,0.7841476777651373
1776556526957513200,0.67951318359375,0.9775642462335762,-0.18798925792156487,-0.5167818364817619,0.6260330618697593,-0.7206673557051824,-0.422179147910189,0.7856777817544749
1776556526967552300,0.68955224609375,0.9671034149599959,-0.19478797568156464,-0.5106363334382105,0.6027476721266513,-0.7289531745336805,-0.4122321938784639,0.7824007245570191
1776556526977591300,0.69959130859375,0.9611733612505241,-0.19908540982633519,-0.5057385312644942,0.5778430914704961,-0.7372552547568852,-0.4013082328354389,0.7746522618492169
1776556526987630000,0.709630126953125,0.9580694009963676,-0.20234161506100176,-0.5015368558080604,0.5505791519561185,-0.7456376914179351,-0.389285348636101,0.7645730884418913
1776556526997669000,0.719669189453125,0.9565105434777551,-0.20532316402099257,-0.49777443938851446,0.522172979543141,-0.7537291826656746,-0.3767694619503399,0.754066510864255
1776556527007708200,0.729708251953125,0.9551551417136507,-0.20826104332326398,-0.4939820743385581,0.4928191678908738,-0.7617982564379092,-0.36369285873192153,0.7431643501045843
1776556527017747200,0.739747314453125,0.9542292550299969,-0.2104626470068667,-0.4904250205157554,0.4642354346151498,-0.7695730812433991,-0.35063656552867845,0.7313226618845714
1776556527027785000,0.749784912109375,0.9546752917550625,-0.21165350658257726,-0.48762930797285453,0.43768405872718047,-0.7765266354563214,-0.3382704575568937,0.7189705136501008
1776556527037824300,0.75982421875,0.9559739425911448,-0.2120974318399798,-0.48564739872151064,0.41522820998848453,-0.7821838750690624,-0.32764245060146774,0.7076315337882542
1776556527047863300,0.76986328125,0.9555746676196443,-0.21204759925500646,-0.4838658073874817,0.40046533045632865,-0.7863559753562261,-0.32024036835317166,0.6989268450436343
1776556527057902000,0.779902099609375,0.9502966073048645,-0.2118789431521414,-0.48105857590549467,0.3939322678339586,-0.7898304383893848,-0.31600303488275555,0.6928450245547827
1776556527067941000,0.789941162109375,0.9381072063975353,-0.21162958518071484,-0.4761201933457212,0.39321060089788906,-0.7939021824031406,-0.31343572461329844,0.6873517945313301
1776556527077980200,0.799980224609375,0.9202835053828998,-0.2103402483432102,-0.4694635806895209,0.3979741669207066,-0.7986707191163099,-0.31222736297079073,0.6804513873355101
1776556527088018200,0.81001806640625,0.8998473049910811,-0.2072681363033272,-0.4623279511693268,0.4091261990015943,-0.8032890250250416,-0.313080883094942,0.671913286244555
1776556527098057200,0.82005712890625,0.8788472035426911,-0.20285463149376473,-0.4553924099236087,0.42566993232572886,-0.8072005843839869,-0.3160617700395455,0.6628337356662438
1776556527108096000,0.830095947265625,0.8574528721436835,-0.19789879435574087,-0.4483823880608716,0.444555478439828,-0.8107860402394477,-0.32002381154338144,0.6534046018199551
1776556527118135300,0.84013525390625,0.834667436889605,-0.19295704156176965,-0.44064430779842223,0.4635778028111573,-0.8146511635330785,-0.323949951317038,0.6433495686034278
1776556527128174000,0.850174072265625,0.8121922550571636,-0.18793128633928696,-0.4328219245233839,0.48230957047325196,-0.8184422007622655,-0.3278711369108209,0.6328452669893705
1776556527138213000,0.860213134765625,0.7913892454776514,-0.1827427218748851,-0.4256362198848449,0.5020116181833486,-0.8214853634838968,-0.3325669386878111,0.6228421950095576
1776556527148252200,0.870252197265625,0.7713771215785232,-0.17716375879643487,-0.41910819793975906,0.5262922169360187,-0.8232089183457711,-0.3395415720260339,0.6141877224081618
1776556527158290200,0.880290283203125,0.75040860135374,-0.17121944136416845,-0.4126209208668364,0.5564547846864706,-0.8237272607384117,-0.34914361279645284,0.6067543549566574
1776556527168329200,0.8903291015625,0.7276328605781369,-0.16508702880276285,-0.40569782018542166,0.5916378210887397,-0.8233651954727657,-0.3608674222648992,0.60002133361405
1776556527178368000,0.900367919921875,0.7032749265943082,-0.15867454480773435,-0.3981773403873217,0.6301005632543337,-0.8224909605102174,-0.3738793241677237,0.5928866149046652
1776556527188407300,0.9104072265625,0.6783775053914851,-0.1517301361787418,-0.39015523818379905,0.6696209857490031,-0.8214713972632355,-0.3872229181627706,0.5840870725543522
1776556527198446300,0.9204462890625,0.6544213710644186,-0.1444235139283409,-0.3819336770238519,0.7072469756994598,-0.8206277589267224,-0.3997982794732399,0.5733254305434824
1776556527208485000,0.930485107421875,0.6306319126367789,-0.13729728713363856,-0.37296554547089533,0.740436744088486,-0.8206810195963951,-0.4105227043091847,0.5604603834761162
1776556527218523100,0.940523193359375,0.6075500409629663,-0.1300848940017353,-0.3633466087606802,0.7684910665901344,-0.821818847266914,-0.4191312547103121,0.5449698115722885
1776556527228562200,0.950562255859375,0.5871929857813094,-0.12153237008351435,-0.35417961445890456,0.7958620908577319,-0.8227621124435393,-0.4276087390021051,0.5269333670897367
1776556527238601200,0.960601318359375,0.5710903659423975,-0.11104893325999667,-0.3462733358593846,0.8252206061165366,-0.822582312936934,-0.43717415277224725,0.506886140976719
1776556527248640000,0.970639892578125,0.5599051729733716,-0.0989503906305277,-0.3400375397775802,0.8569162738222192,-0.820878091085811,-0.4480429565910634,0.48607064502030856
1776556527258679000,0.980678955078125,0.5538542091309802,-0.08570850941091424,-0.3355328133954346,0.889290223716951,-0.8178843828974379,-0.4594964116054073,0.46514404813160565
1776556527268718300,0.99071826171875,0.5526435703231343,-0.07195728031004454,-0.3325618990647403,0.9194109330115404,-0.8143068767155504,-0.4702435677240511,0.44444936293753345
1776556527278757000,1.000757080078125,0.555980301113986,-0.05845030063255358,-0.3311319433893638,0.9449454587074647,-0.8106823758892929,-0.47930079540875664,0.42485959674913865
1776556527288795100,1.010795166015625,0.562968419619165,-0.0463657272771319,-0.3312217882818424,0.9636782591485575,-0.8075504740357844,-0.48580287436547437,0.4079215991171714
1776556527298834200,1.020834228515625,0.5717385413561676,-0.03659136431941332,-0.33239273999073116,0.9750936537908309,-0.805299080091476,-0.4895605106304634,0.3945433941639952
1776556527308873200,1.030873291015625,0.5806562563861775,-0.02914324758624606,-0.33385061118248033,0.9781397755981238,-0.8047029437316573,-0.4900486553333999,0.3834362535803713
1776556527318912300,1.040912353515625,0.5894945068245742,-0.0229522993511618,-0.33509912725340446,0.9730127419120079,-0.8061424056539588,-0.4871512675305926,0.3720152540079041
1776556527328951000,1.050950927734375,0.5997628555732564,-0.016615492150366847,-0.33658332849624784,0.9624888402275447,-0.8088537264197488,-0.4818623816330711,0.3589087155428205
1776556527338990300,1.060990234375,0.6126392482470052,-0.009280791160638471,-0.33887768757314174,0.9502398682047483,-0.8116984352880214,-0.4756273423609255,0.34418054540351817
1776556527349028000,1.071028076171875,0.6289108674016626,-0.0002709098871245136,-0.34234530425664067,0.9393427521891408,-0.8137807532345668,-0.46963888201655574,0.32783939985525706
1776556527359067100,1.081067138671875,0.6475737043516956,0.01078343793468283,-0.34652324636183157,0.9329182872246926,-0.8145575239183694,-0.4650820689549242,0.30968226958620426
1776556527369106200,1.091106201171875,0.6592828896332281,0.02229476719935907,-0.34842017532562336,0.9480273419402373,-0.8109382616463783,-0.4695587055719441,0.2953221758044161
