time,seconds_elapsed,steps
1776556544223618000,17.9456181640625,8
1776556546793465600,20.515465576171874,8
1776556549363298800,23.085298828125,12
1776556551933139200,25.65513916015625,12
1776556554502978600,28.224978515625,12
1776556557072810200,30.794810302734376,12
1776556559642630700,33.364630615234375,12
1776556562212462800,35.934462890625,12
1776556564782296300,38.50429638671875,12
1776556567352118000,41.074117919921875,12
1776556569921924000,43.64392407226563,12
1776556572491709400,46.21370947265625,12
1776556575061497600,48.78349755859375,20
1776556577631277000,51.35327709960937,20
1776556580201061400,53.923061279296874,20
1776556582770839800,56.49283984375,20
1776556585340656400,59.062656494140626,20
