time,seconds_elapsed,steps
1776870306327462000,19.4244619140625,8
1776870308896981500,21.9939814453125,12
1776870311466508300,24.56350830078125,13
1776870314036026000,27.133026123046875,15
1776870316605542700,29.702542724609376,15
1776870319175059200,32.27205908203125,15
1776870321744587800,34.841587890625,15
1776870324314122800,37.411122802734376,15
1776870326883652600,39.980652587890624,15
1776870329453175600,42.550175537109375,15
1776870332022690300,45.11969018554687,15
1776870334592187000,47.68918676757813,15
1776870337161676800,50.2586767578125,15
1776870339731166500,52.82816650390625,15
1776870342300634400,55.39763427734375,15
1776870344870102500,57.9671025390625,24
1776870347439608600,60.53660864257812,24
