time,seconds_elapsed,relativeAltitude,pressure
1776554601268544800,-0.479455322265625,0,1002.8708648681641
1776554602272597500,0.524597412109375,-0.05284881591796875,1002.877197265625
1776554603276652500,1.528652587890625,-0.10569000244140625,1002.8834533691406
1776554604281207600,2.53320751953125,-0.16382598876953125,1002.8903961181641
1776554605284767700,3.536767822265625,-0.21666717529296875,1002.8968811035156
1776554606288828700,4.54082861328125,-0.2880096435546875,1002.9054260253906
1776554606835908600,5.08790869140625,-0.31707763671875,1002.9088592529297
1776554607839972600,6.09197265625,-0.3355712890625,1002.9109191894531
1776554608844022500,7.0960224609375,-0.3646392822265625,1002.9144287109375
1776554609846570500,8.098570556640626,-0.367279052734375,1002.9145812988281
1776554610849603600,9.101603515625,-0.36992645263671875,1002.9151153564453
1776554611853653800,10.10565380859375,-0.3778533935546875,1002.9158782958984
1776554612857709600,11.10970947265625,-0.39105987548828125,1002.9175567626953
1776554613860604400,12.1126044921875,-0.40427398681640625,1002.9190063476562
1776554614862662700,13.11466259765625,-0.40427398681640625,1002.9190063476562
1776554615866084600,14.118084716796876,-0.3963470458984375,1002.9182434082031
1776554616870132500,15.122132568359374,-0.35935211181640625,1002.9136657714844
1776554617874326500,16.126326416015626,-0.32764434814453125,1002.9100799560547
1776554618878262500,17.130262451171873,-0.298583984375,1002.906494140625
1776554619882213600,18.134213623046875,-0.26422882080078125,1002.9023742675781
1776554620886278700,19.138278564453124,-0.240447998046875,1002.8997039794922
1776554621888724500,20.140724365234377,-0.240447998046875,1002.8997039794922
1776554622890990600,21.142990478515625,-0.2510223388671875,1002.9008483886719
1776554623894941700,22.146941650390627,-0.27215576171875,1002.9032897949219
1776554624899078700,23.15107861328125,-0.31707763671875,1002.9087829589844
1776554625901411600,24.15341162109375,-0.36992645263671875,1002.9149627685547
1776554626904939800,25.156939697265624,-0.42276763916015625,1002.9213714599609
1776554627909064400,26.161064453125,-0.48883056640625,1002.9290771484375
1776554628913235700,27.165235595703123,-0.5363922119140625,1002.9348754882812
1776554629917347600,28.16934765625,-0.5628128051757812,1002.9380035400391
1776554630921914600,29.17391455078125,-0.5813064575195312,1002.9403686523438
1776554631925601500,30.1776015625,-0.620941162109375,1002.9448699951172
1776554632929706500,31.18170654296875,-0.620941162109375,1002.9448699951172
1776554633933655600,32.18565551757813,-0.5760269165039062,1002.9396057128906
1776554634937771500,33.189771484375,-0.5337448120117188,1002.9344940185547
1776554635941940500,34.1939404296875,-0.47032928466796875,1002.9269409179688
1776554636946049500,35.19804956054688,-0.393707275390625,1002.9177093505859
1776554637950117600,36.20211767578125,-0.31179046630859375,1002.9080963134766
1776554638953255700,37.20525561523438,-0.26158905029296875,1002.9022216796875
1776554639957407500,38.20940747070313,-0.24309539794921875,1002.8999328613281
1776554640961654800,39.21365478515625,-0.208740234375,1002.8959655761719
1776554641965713400,40.21771337890625,-0.1743927001953125,1002.8916168212891
1776554642969858600,41.22185864257813,-0.16382598876953125,1002.8904724121094
