time,seconds_elapsed,z,y,x
1776554601833235500,0.0852353515625,-9.34526466063857,-2.8486051778063177,-0.8496223673384636
1776554601843276500,0.095276611328125,-9.348895710617303,-2.838116517017782,-0.844766670935601
1776554601853316600,0.105316650390625,-9.352493442848324,-2.8273522541582583,-0.841030626212433
1776554601863357400,0.115357421875,-9.356275883996487,-2.8157074090719223,-0.8380201192848384
1776554601873397500,0.1253974609375,-9.36020211752951,-2.803105701652169,-0.8364226940255611
1776554601883438600,0.1354384765625,-9.364040672779083,-2.7898823552027343,-0.8376648030411452
1776554601893478700,0.145478759765625,-9.367938264739513,-2.775069693735242,-0.843267737614736
1776554601903519700,0.155519775390625,-9.371783249729871,-2.7593033848047255,-0.8522338650111109
1776554601913560600,0.165560546875,-9.374840299212932,-2.746638256759941,-0.8594965494904666
1776554601923600600,0.1756005859375,-9.377217549738287,-2.7377213753327725,-0.8620094821594655
1776554601933641700,0.185641845703125,-9.37948783275783,-2.7301535704270004,-0.8613077636308968
1776554601943681800,0.195681884765625,-9.381737657511234,-2.722600670829415,-0.8607156429566443
1776554601953722600,0.20572265625,-9.383975791826844,-2.7148969645842906,-0.8606480576131492
1776554601963762400,0.215762451171875,-9.386154889431594,-2.7071453275442123,-0.8613058639347553
1776554601973803500,0.225803466796875,-9.387928328844904,-2.6995620328083634,-0.8657672272577881
1776554601983843600,0.235843505859375,-9.38901729312539,-2.6927172814801335,-0.8752198960620909
1776554601993884700,0.245884765625,-9.389490755856036,-2.687000072877109,-0.8876239620178937
1776554602003924700,0.2559248046875,-9.389807566720247,-2.6820027029812334,-0.8993092121798545
1776554602013965600,0.265965576171875,-9.390196273776889,-2.677891176009178,-0.9074665074113756
1776554602024006700,0.276006591796875,-9.390696039992571,-2.6755475354924796,-0.9092078711859881
1776554602034046700,0.286046630859375,-9.39175928530991,-2.673946237775683,-0.9029154199782758
1776554602044087600,0.296087646484375,-9.39368294684887,-2.6722148839384317,-0.8879035096116363
1776554602054127400,0.30612744140625,-9.396483391222358,-2.66960733178854,-0.8658431420382112
1776554602064168400,0.31616845703125,-9.399791200596093,-2.6651249256774783,-0.843456976576522
1776554602074208500,0.32620849609375,-9.403038219693302,-2.6593390357524154,-0.8253284685593097
1776554602084249600,0.33624951171875,-9.405400272649526,-2.654951614448428,-0.8124434872187674
1776554602094289700,0.34628955078125,-9.406988418623804,-2.6530618551790712,-0.8001368172228336
1776554602104330500,0.35633056640625,-9.40856312059462,-2.6519904265552756,-0.7850312372233719
1776554602114370600,0.36637060546875,-9.411239646327495,-2.6483225516974924,-0.7650755868442356
1776554602124411600,0.37641162109375,-9.415770860016345,-2.6404595632374286,-0.735944331036508
1776554602134452500,0.386452392578125,-9.422082527381182,-2.6287068738624453,-0.6961642554424703
1776554602144492500,0.396492431640625,-9.430324870547652,-2.611366447483003,-0.648165071427077
1776554602154533600,0.40653369140625,-9.43954161170423,-2.588596397270262,-0.6038241541909054
1776554602164573700,0.41657373046875,-9.448837263315916,-2.5640298190295696,-0.5617917696254328
1776554602174614800,0.42661474609375,-9.456082412138581,-2.5461948871314526,-0.519404799468629
1776554602184654600,0.436654541015625,-9.461964455914497,-2.5327047064393757,-0.4764627527123317
1776554602194695400,0.4466953125,-9.46852512960434,-2.515700672407448,-0.4343527728660032
1776554602204735500,0.456735595703125,-9.476460598778724,-2.4910516765803097,-0.4021733084687963
1776554602214776600,0.466776611328125,-9.4862782284379,-2.457164312286675,-0.3784960802832618
1776554602224816600,0.476816650390625,-9.498649634233116,-2.4129710964255033,-0.35158542313445357
1776554602234857500,0.486857421875,-9.512595157477259,-2.3644711232811213,-0.3003188165546395
1776554602244898600,0.496898681640625,-9.526721882507205,-2.3166304908283055,-0.21256065453216433
1776554602254938600,0.506938720703125,-9.540275191563367,-2.268216442401707,-0.09345104903499596
1776554602264979700,0.516979736328125,-9.550815290278196,-2.2244987350977956,0.06261614024769514
1776554602275019500,0.52701953125,-9.554643324133753,-2.1943445659831164,0.2530374436860904
1776554602285060600,0.537060546875,-9.54910848636031,-2.1850229031473396,0.4588937417414039
1776554602295100400,0.547100341796875,-9.537122280490397,-2.1904493121102453,0.644677521572262
1776554602305141500,0.5571416015625,-9.527030510064959,-2.192698844602704,0.7734015897061676
1776554602315181600,0.567181640625,-9.51990285014212,-2.191275387670845,0.8603197024416178
1776554602325222400,0.577222412109375,-9.51867126252055,-2.1748048759937286,0.9140579415656626
1776554602335262500,0.587262451171875,-9.520006310516596,-2.1421629817165435,0.9751917708337307
1776554602345303600,0.597303466796875,-9.526550033071636,-2.0849141771882773,1.0336150259688497
1776554602355343600,0.607343505859375,-9.538377248987555,-2.0046486542098223,1.0821843380223959
1776554602365384700,0.617384765625,-9.552090132519602,-1.9099324349440634,1.1314215394001454
1776554602375425500,0.627425537109375,-9.563803951188921,-1.8135412682034073,1.1895844630986452
1776554602385465600,0.637465576171875,-9.570831073346733,-1.7312161823466419,1.2539786093369125
1776554602395506700,0.647506591796875,-9.572505144038796,-1.6786417993701994,1.3113701833367346
1776554602405546800,0.657546630859375,-9.567738952550291,-1.6611865144394338,1.3671942157588899
1776554602415587600,0.667587646484375,-9.555442950078845,-1.6763861293978988,1.433046013459563
1776554602425627400,0.67762744140625,-9.536029809078574,-1.7171768433392047,1.511892025028914
1776554602435668500,0.68766845703125,-9.506734741011261,-1.7753391094505786,1.6249765524171291
