time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1776554373389278000,-7.97472216796875,129.87979774475096,-1,-1,30.28147696399619,156.33041076660155,-1,18.676431679933355,30,-97.73229987073628,-1
1776554381539512000,0.175511962890625,129.87979774475096,-1,-1,30.28147696399619,156.33041076660155,-1,18.676431679933355,30,-97.73229987073628,-1
1776554381550531800,0.18653173828125,129.88812917073568,-1,-1,30.2814767493833,156.33874219258627,-1,13.991392026817628,30,-97.7322961516617,-1
1776554381744046000,0.380046142578125,129.89199727376302,-1,-1,30.281476749348972,156.3426102956136,-1,13.991391968448747,30.000000000000018,-97.73229615170378,-1
1776554383937530000,2.573530029296875,129.88812917073568,-1,-1,30.281476765855643,156.33874219258627,-1,14.00051164839028,30,-97.73229620448153,-1
1776554385942394000,4.57839404296875,129.88812917073568,-1,-1,30.28147675569267,156.33874219258627,-1,13.151225794660567,30,-97.73229579970985,-1
1776554387515175000,6.1511748046875,134.51647566955663,-1,-1,30.281476756213422,160.9670886914072,-1,12.72040215348295,30,-97.7322955908109,-1
1776554389996618000,8.632617919921875,129.88812917073568,-1,-1,30.28147674844345,156.33874219258627,-1,14.350617538237637,30,-97.73229510409979,-1
1776554395518918100,14.154918212890625,134.33084624380544,-1,-1,30.281476777007267,160.78145926565603,-1,19.4788686159452,30,-97.73229519541657,-1
1776554398998743000,17.634742919921877,134.33084624380544,-1,-1,30.28147677700702,160.78145926565603,-1,19.478870756226417,30,-97.73229519540993,-1
1776554401519498800,20.155498779296874,134.33084624380544,-1,-1,30.281476804808594,160.78145926565603,-1,19.478872547344565,30,-97.73229528430133,-1
1776554407522196000,26.158196044921876,134.33084624380544,-1,-1,30.281476831877004,160.78145926565603,-1,19.47888057406739,30,-97.7322953708342,-1
1776554413520362800,32.15636279296875,134.33084624380544,-1,-1,30.28147680195969,160.78145926565603,-1,13.954278937924522,30,-97.73229424331198,-1
1776554414008204000,32.6442041015625,134.33084624380544,-1,-1,30.281476801782077,160.78145926565603,-1,13.97286092944373,30,-97.73229423661792,-1
1776554419524386800,38.16038671875,134.33084624380544,-1,-1,30.281476804764228,160.78145926565603,-1,17.343177015288262,30,-97.73229364664462,-1
1776554420027527000,38.66352685546875,134.33084624380544,-1,-1,30.281476804672934,160.78145926565603,-1,17.425705062188865,30,-97.73229364029163,-1
1776554425085631700,43.7216318359375,134.33084624380544,-1,-1,30.28147682485941,160.78145926565603,-1,17.61206377526337,30,-97.73229344338172,-1
1776554425518241800,44.15424169921875,134.33084624380544,-1,-1,30.28147682488145,160.78145926565603,-1,17.646135527369555,30,-97.73229344219138,-1
1776554426786601000,45.42260107421875,134.33084624380544,-1,-1,30.28147685031617,160.78145926565603,-1,18.20802138664154,30,-97.73229350013052,-1
1776554431237360000,49.873360107421874,134.33084624380544,-1,-1,30.281476878457056,160.78145926565603,-1,17.978755598919967,30,-97.73229349053844,-1
1776554432519076900,51.15507690429688,134.33084624380544,-1,-1,30.281476902181957,160.78145926565603,-1,17.90671041879236,30,-97.73229355802899,-1
1776554435621268000,54.25726806640625,134.33084624380544,-1,-1,30.281476932629765,160.78145926565603,-1,18.047451430644074,30,-97.73229362364829,-1
1776554437323531300,55.95953125,134.33084624380544,-1,-1,30.28147696074251,160.78145926565603,-1,18.590021638125325,30,-97.73229370475643,-1
1776554441521782000,60.157781982421874,134.33084624380544,-1,-1,30.281476992626846,160.78145926565603,-1,18.208859086635584,30,-97.73229378573257,-1
1776554441739446300,60.3754462890625,134.33084624380544,-1,-1,30.28147699265557,160.78145926565603,-1,18.21811639990155,30,-97.73229378577842,-1
1776554447518607000,66.15460717773438,134.33084624380544,-1,-1,30.281477022899168,160.78145926565603,-1,17.94247125662632,30,-97.73229386995345,-1
1776554447766825000,66.40282495117188,134.33084624380544,-1,-1,30.281477022909108,160.78145926565603,-1,17.94711781598016,30,-97.73229386997761,-1
1776554453513625000,72.149625,134.33084624380544,-1,-1,30.2814770506842,160.78145926565603,-1,17.852284068047542,30,-97.73229395401395,-1
1776554453776980000,72.41297998046875,134.33084624380544,-1,-1,30.28147705072008,160.78145926565603,-1,17.87122958034014,30,-97.73229395411678,-1
