time,seconds_elapsed,relativeAltitude,pressure
1776554380900656600,-0.46334326171875,0,1002.8729248046875
1776554381904677600,0.540677734375,0.01849365234375,1002.8706359863281
1776554382908638700,1.544638671875,0.02114105224609375,1002.8704071044922
1776554383912708900,2.548708984375,0.02114105224609375,1002.8704071044922
1776554384916731600,3.552731689453125,0.0026397705078125,1002.8724670410156
1776554385920743700,4.55674365234375,-0.0158538818359375,1002.8746795654297
1776554386468107800,5.104107666015625,-0.0792694091796875,1002.8823089599609
1776554387472116700,6.10811669921875,-0.10041046142578125,1002.8847503662109
1776554388476127700,7.112127685546875,-0.16646575927734375,1002.8928375244141
1776554389480139800,8.116139892578126,-0.23252105712890625,1002.9006195068359
1776554390484147700,9.120147705078125,-0.29065704345703125,1002.9074859619141
1776554391488152800,10.12415283203125,-0.35407257080078125,1002.9151916503906
1776554392492229600,11.128229736328125,-0.43598175048828125,1002.9249572753906
1776554393496161800,12.132161865234375,-0.48618316650390625,1002.9306030273438
1776554394500161500,13.13616162109375,-0.5337448120117188,1002.9365539550781
1776554395504165600,14.14016552734375,-0.6050872802734375,1002.9450225830078
1776554396508685600,15.144685546875,-0.6500091552734375,1002.9502868652344
1776554397512170800,16.148170654296877,-0.6870040893554688,1002.9547882080078
1776554398516170800,17.152170654296874,-0.6870040893554688,1002.9547882080078
1776554399520179700,18.1561796875,-0.6790771484375,1002.9538726806641
1776554400524169700,19.160169677734373,-0.602447509765625,1002.9447937011719
1776554401528172800,20.1641728515625,-0.4782562255859375,1002.9299163818359
1776554402532166700,21.168166748046875,-0.3144378662109375,1002.9103851318359
1776554403536161500,22.17216162109375,-0.13739776611328125,1002.8892517089844
1776554404540163800,23.176163818359374,0.01056671142578125,1002.8715515136719
1776554405544485600,24.180485595703125,0.13739776611328125,1002.8563690185547
1776554406548150800,25.18415087890625,0.221954345703125,1002.8463745117188
1776554407552148500,26.1881484375,0.221954345703125,1002.8463745117188
1776554408556145700,27.192145751953124,0.21666717529296875,1002.8470611572266
1776554409560137700,28.1961376953125,0.13739776611328125,1002.8565979003906
1776554410564093700,29.20009375,0.0290679931640625,1002.8693389892578
1776554411568126700,30.204126708984376,-0.08455657958984375,1002.8829193115234
1776554412572116700,31.20811669921875,-0.203460693359375,1002.8970336914062
1776554413576113700,32.21211376953125,-0.3144378662109375,1002.9102325439453
1776554414580108500,33.21610864257813,-0.4254150390625,1002.9235076904297
1776554415584104700,34.220104736328125,-0.5152511596679688,1002.9343414306641
1776554416588096500,35.224096435546876,-0.5945205688476562,1002.9437255859375
1776554417592091600,36.22809155273438,-0.6447219848632812,1002.9496002197266
1776554418596085800,37.23208569335937,-0.6896438598632812,1002.9549407958984
1776554419600151800,38.23615185546875,-0.6896438598632812,1002.9549407958984
1776554420604067600,39.24006762695313,-0.6870040893554688,1002.9546356201172
1776554421608060700,40.24406079101563,-0.6685028076171875,1002.9525756835938
1776554422612055800,41.24805590820313,-0.6579360961914062,1002.9511260986328
1776554423616045800,42.2520458984375,-0.5998077392578125,1002.9444122314453
1776554424620038000,43.256037841796875,-0.5654525756835938,1002.9400634765625
1776554425624027600,44.260027587890626,-0.5099639892578125,1002.9335021972656
1776554426628018700,45.264018798828126,-0.4254150390625,1002.9235076904297
1776554427632005600,46.26800561523437,-0.37520599365234375,1002.9175567626953
1776554428636058600,47.27205859375,-0.3461456298828125,1002.9140472412109
1776554429639989500,48.27598950195313,-0.32236480712890625,1002.9111480712891
1776554430643981600,49.27998168945312,-0.32236480712890625,1002.9111480712891
1776554431647964700,50.28396459960938,-0.348785400390625,1002.9144287109375
1776554432651965700,51.28796557617188,-0.35407257080078125,1002.9151916503906
1776554433655952600,52.29195263671875,-0.35407257080078125,1002.9151916503906
1776554434659947500,53.295947509765625,-0.34085845947265625,1002.9133605957031
1776554435663940600,54.299940673828125,-0.32764434814453125,1002.9119873046875
1776554436667930600,55.3039306640625,-0.298583984375,1002.9084777832031
1776554437671922700,56.30792260742187,-0.2695159912109375,1002.9050445556641
1776554438675910700,57.31191064453125,-0.26422882080078125,1002.9042053222656
1776554439679905500,58.31590551757812,-0.23252105712890625,1002.9004669189453
1776554440683897900,59.31989794921875,-0.21402740478515625,1002.8981781005859
1776554441688106800,60.324106689453124,-0.18231964111328125,1002.8945159912109
1776554442691878700,61.32787866210938,-0.14532470703125,1002.8901672363281
1776554443695871500,62.33187158203125,-0.04227447509765625,1002.8779602050781
1776554444699862800,63.33586279296875,-0.0026397705078125,1002.8731536865234
1776554445703854600,64.3398544921875,0.076629638671875,1002.86376953125
1776554446707820500,65.34382055664062,0.15325164794921875,1002.8546905517578
1776554447711822800,66.34782275390624,0.158538818359375,1002.8539276123047
1776554448715812600,67.3518125,0.158538818359375,1002.8539276123047
1776554449719802600,68.355802734375,0.10569000244140625,1002.8602600097656
1776554450723783700,69.35978369140625,-0.00792694091796875,1002.8736877441406
1776554451727773700,70.36377368164062,-0.10569000244140625,1002.8855133056641
