time,seconds_elapsed,z,y,x
1776021874339023600,0.084023681640625,-23.580841064453125,-19.519268035888672,-11.302151679992676
1776021874349084700,0.094084716796875,-23.736434936523438,-19.675640106201172,-11.357708930969238
1776021874359145700,0.104145751953125,-23.782623291015625,-19.802661895751953,-11.294634819030762
1776021874369206800,0.114206787109375,-23.268508911132812,-20.010757446289062,-11.182774543762207
1776021874379267600,0.124267578125,-23.088027954101562,-20.08885955810547,-11.513228416442871
1776021874389329700,0.13432958984375,-23.52984619140625,-20.27731704711914,-11.672174453735352
1776021874399390700,0.144390625,-23.1688232421875,-20.20030975341797,-11.798135757446289
1776021874409451800,0.15445166015625,-23.106719970703125,-20.285980224609375,-11.930734634399414
1776021874419512600,0.1645126953125,-23.102401733398438,-20.121646881103516,-12.092926025390625
1776021874429573600,0.17457373046875,-22.850326538085938,-19.907470703125,-12.052709579467773
1776021874439634700,0.184634765625,-22.99334716796875,-19.895702362060547,-12.045531272888184
1776021874449696500,0.194696533203125,-23.654815673828125,-19.73822784423828,-12.36031436920166
1776021874459757600,0.204757568359375,-23.512374877929688,-19.802570343017578,-12.143110275268555
1776021874469818600,0.214818603515625,-23.994064331054688,-19.292003631591797,-12.055377960205078
1776021874479879700,0.224879638671875,-24.08599853515625,-19.11071014404297,-11.43901252746582
1776021874489940700,0.234940673828125,-24.177703857421875,-19.05748748779297,-11.354246139526367
1776021874500001800,0.245001708984375,-24.508544921875,-18.79970932006836,-11.062767028808594
1776021874510063600,0.255063720703125,-24.903350830078125,-18.830120086669922,-11.101031303405762
1776021874520124700,0.265124755859375,-25.216949462890625,-18.790485382080078,-11.090875625610352
1776021874530185700,0.275185791015625,-25.299880981445312,-18.45911407470703,-11.126834869384766
1776021874540246800,0.285246826171875,-25.514312744140625,-18.455078125,-11.01732063293457
1776021874550307600,0.2953076171875,-26.229629516601562,-18.22011947631836,-10.916715621948242
1776021874560369700,0.30536962890625,-25.86920166015625,-17.738887786865234,-11.179157257080078
1776021874570430500,0.315430419921875,-25.97344970703125,-17.405818939208984,-11.331801414489746
1776021874580491500,0.325491455078125,-26.626937866210938,-17.54461669921875,-11.292688369750977
1776021874590552600,0.335552490234375,-27.157150268554688,-17.348651885986328,-11.090286254882812
1776021874600613600,0.345613525390625,-27.57958984375,-17.067626953125,-10.632030487060547
1776021874610674700,0.3556748046875,-28.124893188476562,-16.594600677490234,-9.990017890930176
1776021874620736500,0.365736572265625,-28.485427856445312,-16.112167358398438,-9.557646751403809
1776021874630797600,0.375797607421875,-28.596343994140625,-15.620018005371094,-8.592475891113281
1776021874640858600,0.385858642578125,-29.09716796875,-15.156551361083984,-8.134771347045898
1776021874650919700,0.395919677734375,-29.354965209960938,-14.804553985595703,-7.5177388191223145
1776021874660980700,0.405980712890625,-29.432342529296875,-14.56125259399414,-7.943891525268555
1776021874671042600,0.41604248046875,-29.458450317382812,-14.368186950683594,-8.447805404663086
1776021874681103600,0.426103515625,-29.477035522460938,-14.409690856933594,-8.836267471313477
1776021874691164700,0.43616455078125,-29.763824462890625,-14.046497344970703,-9.305766105651855
1776021874701225500,0.4462255859375,-29.754196166992188,-13.800010681152344,-9.902228355407715
1776021874711286500,0.45628662109375,-30.08489990234375,-13.58761978149414,-9.858197212219238
1776021874721347600,0.46634765625,-29.89886474609375,-13.238170623779297,-10.070131301879883
1776021874731409700,0.47640966796875,-29.9110107421875,-12.939476013183594,-10.004435539245605
1776021874741470500,0.486470458984375,-30.413528442382812,-12.32473373413086,-10.049116134643555
1776021874751531500,0.496531494140625,-30.573959350585938,-11.412506103515625,-9.698089599609375
1776021874761592600,0.506592529296875,-31.112411499023438,-10.12103271484375,-9.627035140991211
1776021874771653600,0.516653564453125,-31.828842163085938,-9.336814880371094,-9.254837036132812
1776021874781714700,0.526714599609375,-32.725341796875,-7.766378402709961,-9.109335899353027
1776021874791776800,0.53677685546875,-33.29461669921875,-6.809268951416016,-8.708984375
1776021874801837600,0.546837646484375,-33.70845031738281,-6.221132278442383,-8.414087295532227
1776021874811898600,0.556898681640625,-33.594818115234375,-5.574672698974609,-7.955704689025879
1776021874821959700,0.566959716796875,-33.37274169921875,-5.270923614501953,-7.6564507484436035
1776021874832020500,0.5770205078125,-33.78471374511719,-5.248834609985352,-7.167945384979248
1776021874842082800,0.587082763671875,-34.0765380859375,-4.796176910400391,-5.7316789627075195
1776021874852143600,0.5971435546875,-34.77442932128906,-4.308412551879883,-5.044140815734863
1776021874862204700,0.60720458984375,-34.66825866699219,-3.895608901977539,-4.082889556884766
1776021874872265500,0.617265380859375,-34.64314270019531,-3.674671173095703,-3.3883657455444336
1776021874882326500,0.627326416015625,-34.98765563964844,-3.0506973266601562,-2.6329996585845947
1776021874892387600,0.6373876953125,-35.08943176269531,-2.6624183654785156,-1.7265853881835938
1776021874902449700,0.64744970703125,-35.04930114746094,-2.0389251708984375,-0.8761892914772034
1776021874912510700,0.6575107421875,-34.973846435546875,-1.374542236328125,0.2479846477508545
1776021874922571800,0.66757177734375,-35.040740966796875,-0.6066646575927734,1.2154936790466309
1776021874932632600,0.677632568359375,-35.13014221191406,-0.021265029907226562,2.6794657707214355
1776021874942693600,0.687693603515625,-34.88641357421875,0.7755146026611328,4.085704326629639
1776021874952754700,0.697754638671875,-34.68438720703125,1.4424057006835938,5.47714900970459
1776021874962816800,0.707816650390625,-34.06065368652344,2.4140357971191406,6.8665771484375
1776021874972877800,0.7178779296875,-33.752532958984375,3.349742889404297,7.837895393371582
1776021874982938600,0.727938720703125,-33.14837646484375,4.198400497436523,8.796568870544434
1776021874992999700,0.737999755859375,-33.182220458984375,5.1944732666015625,9.581114768981934
1776021875003060500,0.748060546875,-32.67433166503906,5.949588775634766,10.130125999450684
1776021875013122600,0.75812255859375,-32.37834167480469,6.73207950592041,10.891301155090332
1776021875023183600,0.76818359375,-32.13420104980469,7.527098655700684,11.830282211303711
1776021875033244700,0.77824462890625,-31.722564697265625,8.14227294921875,12.543399810791016
1776021875043305700,0.7883056640625,-30.957565307617188,8.831467628479004,13.250438690185547
1776021875053366800,0.79836669921875,-30.338272094726562,9.051972389221191,14.07257080078125
1776021875063427600,0.808427490234375,-29.969024658203125,9.391057968139648,15.00583553314209
1776021875073489700,0.81848974609375,-29.946517944335938,9.20015811920166,16.00387191772461
1776021875083550700,0.82855078125,-29.353118896484375,8.462637901306152,16.941570281982422
1776021875093611800,0.83861181640625,-29.182785034179688,7.70185661315918,17.766464233398438
1776021875103672800,0.8486728515625,-28.205352783203125,7.197552680969238,18.662776947021484
1776021875113733600,0.858733642578125,-27.839584350585938,6.414880752563477,19.299556732177734
1776021875123795500,0.86879541015625,-27.568328857421875,5.256013870239258,19.87396240234375
1776021875133856500,0.8788564453125,-27.1673583984375,4.521675109863281,20.57202911376953
1776021875143917600,0.88891748046875,-26.73699951171875,3.829324722290039,20.590999603271484
1776021875153978600,0.898978515625,-26.526153564453125,2.8855018615722656,21.08855438232422
1776021875164039700,0.909039794921875,-26.4193115234375,1.841888427734375,21.34576416015625
1776021875174100700,0.919100830078125,-26.451705932617188,0.8532295227050781,21.671825408935547
1776021875184162600,0.92916259765625,-26.255599975585938,-0.17267799377441406,21.762596130371094
1776021875194223600,0.9392236328125,-25.90899658203125,-0.9949150085449219,21.96450424194336
1776021875204284700,0.94928466796875,-25.999114990234375,-1.4964828491210938,21.746551513671875
1776021875214345700,0.959345703125,-25.294830322265625,-1.7933235168457031,21.911636352539062
1776021875224406800,0.96940673828125,-25.054183959960938,-1.8944549560546875,22.194931030273438
1776021875234467600,0.979467529296875,-25.17254638671875,-2.329214096069336,22.386444091796875
1776021875244529700,0.98952978515625,-25.265609741210938,-2.7076759338378906,22.283966064453125
1776021875254590500,0.999590576171875,-25.36639404296875,-3.1295509338378906,22.082382202148438
1776021875264651500,1.009651611328125,-25.334732055664062,-3.89190673828125,21.942352294921875
1776021875274712600,1.019712646484375,-25.750320434570312,-4.193195343017578,21.81484603881836
1776021875284773600,1.029773681640625,-25.3853759765625,-4.199531555175781,21.53470230102539
1776021875294835500,1.03983544921875,-25.483627319335938,-4.48790168762207,21.40839385986328
1776021875304896500,1.049896484375,-25.108230590820312,-4.606903076171875,21.243579864501953
1776021875314957600,1.05995751953125,-24.966766357421875,-4.884307861328125,21.114540100097656
1776021875325018600,1.0700185546875,-25.100616455078125,-4.732757568359375,21.025047302246094
1776021875335079700,1.08007958984375,-25.669540405273438,-4.567279815673828,20.69353485107422
1776021875345140700,1.090140625,-26.19671630859375,-4.237382888793945,20.240802764892578
1776021875355202600,1.10020263671875,-26.5836181640625,-3.9191341400146484,19.713176727294922
1776021875365263400,1.110263427734375,-27.600021362304688,-3.442218780517578,18.93563461303711
1776021875375324400,1.120324462890625,-28.041351318359375,-3.0695629119873047,17.815277099609375
1776021875385385200,1.13038525390625,-28.921096801757812,-2.4948673248291016,16.91301727294922
1776021875395446300,1.1404462890625,-29.171646118164062,-2.231050491333008,16.54357147216797
1776021875405507300,1.15050732421875,-29.126388549804688,-1.7299690246582031,16.752796173095703
1776021875415569400,1.1605693359375,-29.225982666015625,-1.5120468139648438,17.129146575927734
1776021875425630200,1.170630126953125,-29.173690795898438,-1.0765457153320312,17.456390380859375
1776021875435691300,1.180691162109375,-28.6358642578125,-0.7208404541015625,17.641529083251953
1776021875445752300,1.19075244140625,-28.106231689453125,-0.17749404907226562,17.99341583251953
1776021875455813400,1.2008134765625,-28.122055053710938,0.45316123962402344,18.469600677490234
1776021875465875500,1.21087548828125,-27.881210327148438,1.0827178955078125,19.22317123413086
1776021875475936500,1.2209365234375,-27.288101196289062,2.1758480072021484,19.768310546875
1776021875485997300,1.230997314453125,-26.320053100585938,3.2963085174560547,20.76374053955078
1776021875496058400,1.241058349609375,-25.543319702148438,4.289033889770508,21.453201293945312
1776021875506119400,1.251119384765625,-25.095733642578125,5.60125732421875,21.826641082763672
1776021875516180200,1.26118017578125,-24.694137573242188,7.466792106628418,21.542644500732422
1776021875526242300,1.2712421875,-24.4232177734375,9.264204025268555,21.185020446777344
1776021875536303400,1.281303466796875,-23.937820434570312,11.240493774414062,20.682498931884766
1776021875546364400,1.291364501953125,-23.029800415039062,12.946327209472656,20.48802947998047
1776021875556425200,1.30142529296875,-22.09814453125,14.89433765411377,20.424724578857422
1776021875566486300,1.311486328125,-21.3748779296875,16.092628479003906,20.228927612304688
1776021875576547300,1.32154736328125,-20.191314697265625,17.40557861328125,20.18518829345703
1776021875586609400,1.331609375,-19.312911987304688,18.362150192260742,19.931289672851562
1776021875596670500,1.34167041015625,-18.546875,19.50425148010254,19.55536651611328
1776021875606731500,1.3517314453125,-17.893798828125,20.173593521118164,19.157333374023438
1776021875616792300,1.361792236328125,-17.446121215820312,20.733667373657227,18.58871078491211
1776021875626853400,1.371853271484375,-17.6163330078125,21.534765243530273,17.983848571777344
1776021875636915500,1.38191552734375,-17.649398803710938,22.024761199951172,17.31634521484375
1776021875646976500,1.3919765625,-18.279800415039062,22.224550247192383,16.080154418945312
1776021875657037300,1.402037353515625,-19.183029174804688,22.89900779724121,14.27286148071289
1776021875667098400,1.412098388671875,-20.21258544921875,23.822412490844727,12.024067878723145
1776021875677159400,1.422159423828125,-20.949203491210938,24.511316299438477,9.292132377624512
1776021875687220200,1.43222021484375,-21.807632446289062,24.910837173461914,7.347775459289551
1776021875697282300,1.4422822265625,-21.95623779296875,25.163658142089844,6.716180324554443
1776021875707343400,1.45234326171875,-21.778488159179688,25.247970581054688,6.935041427612305
1776021875717404400,1.462404296875,-21.6851806640625,24.986644744873047,7.7257232666015625
1776021875727465500,1.472465576171875,-21.504364013671875,24.525766372680664,8.289154052734375
1776021875737526500,1.482526611328125,-21.39263916015625,24.559165954589844,8.56602954864502
1776021875747587300,1.49258740234375,-21.337127685546875,24.408184051513672,9.064987182617188
1776021875757649400,1.5026494140625,-21.622894287109375,24.271804809570312,9.160394668579102
1776021875767710500,1.51271044921875,-21.34619140625,24.211519241333008,9.170541763305664
1776021875777771500,1.522771484375,-21.394882202148438,24.21807098388672,9.098491668701172
1776021875787832300,1.532832275390625,-21.070419311523438,24.236156463623047,9.246113777160645
1776021875797893400,1.542893310546875,-20.981231689453125,24.29511833190918,9.112282752990723
1776021875807955200,1.552955078125,-20.963302612304688,24.451549530029297,9.22622013092041
1776021875818016300,1.563016357421875,-20.679855346679688,24.34832191467285,9.311382293701172
1776021875828077300,1.573077392578125,-20.75079345703125,24.259538650512695,9.370704650878906
1776021875838138400,1.583138427734375,-20.44244384765625,24.33969497680664,9.350168228149414
1776021875848199400,1.593199462890625,-20.441238403320312,24.39959144592285,9.430253982543945
1776021875858260500,1.603260498046875,-20.170608520507812,24.43755340576172,9.487378120422363
1776021875868322300,1.613322265625,-20.19512939453125,24.646427154541016,9.624454498291016
1776021875878383400,1.62338330078125,-20.037216186523438,24.66632652282715,9.50826358795166
1776021875888444400,1.6334443359375,-20.219192504882812,24.720054626464844,9.378064155578613
1776021875898505500,1.64350537109375,-20.48638916015625,24.980419158935547,9.613493919372559
1776021875908566500,1.65356640625,-20.353439331054688,24.826204299926758,9.508757591247559
1776021875918627300,1.66362744140625,-20.728286743164062,24.736835479736328,9.426922798156738
1776021875928689400,1.673689453125,-20.704940795898438,24.734172821044922,9.461322784423828
1776021875938750200,1.683750244140625,-20.54833984375,24.9177188873291,9.525737762451172
1776021875948811300,1.693811279296875,-20.537094116210938,24.801982879638672,9.525054931640625
1776021875958872300,1.703872314453125,-20.565109252929688,24.77763557434082,9.476884841918945
1776021875968933400,1.713933349609375,-20.58062744140625,24.623754501342773,9.51953411102295
1776021875978995200,1.7239951171875,-20.486953735351562,24.62708282470703,9.515495300292969
